subj_id,Completion,sentID,NatNess,Diff,RT,hasComment?,AdditCom,translation
R_1lgEwIKXFHGT01V,de thee,1,4,6,1.033,0,,
R_2qq1JLwmdrdJM9d,de koffie,1,5,6,3.119,0,,
R_ZrTEV9TpypUZEC5,de koffie,1,5,6,2.538,0,,
R_3Gq55dSXHC6ANc8,de koffie,1,4,6,3.836,0,,
R_3D8b4ozl4q217Ie,de thee,1,4,5,2.156,0,,
R_qV03fIB34drHELn,de koffie,1,5,6,5.19,0,,
R_1mRh44rpwMf0PbH,de koffie,1,5,6,1.474,0,,
R_3gNkgaxQ9C21dQW,de thee,1,5,6,3.828,0,,
R_21umvRGJCCZXoit,de thee,1,5,6,4.763,0,,
R_BKctGx9a1Hi7w4h,de boeken,2,4,5,1.118,0,,
R_u2ffULg0uVmoetj,een boek,2,4,5,0.146,0,,
R_2vf9l3GOwanVBOH,een boek,2,5,6,1.118,0,,
R_OqjAwL4brYESqul,een boek,2,5,5,3.854,0,,
R_1LG8FwYsk4Xgq61,dat artikel,2,5,6,2.169,0,,
R_2wQZuV97sKRkDfp,de brochure,2,5,5,2.128,0,,
R_2dsf9d9zlzEbaRw,het artikel,2,5,6,9,0,,
R_3j0ZzVXSe6NB0v0,een boek,2,5,6,5.326,0,,
R_2SqwKT4bUhZVaYX,Een boek,2,5,5,8.252,0,,
R_6yuZ6GaDGqciNE1,het boek,2,5,4,18.038,0,,
R_22DGKB9Dz59SJIt,een boek,2,5,6,3.704,0,,
R_5iDE07CUBSNZdqF,de avonturen,2,3,5,12.91,0,,
R_2w61flKU0TAtmrX,een boek,2,5,6,12.579,0,,
R_2Y4gtCNHITcznSw,Websites,2,4,5,7.627,0,,
R_2qDHMLvHLCvMWMS,een boek,2,5,6,57.98,0,,
R_bg7cQUV93CWU245,een boek,2,5,5,11.55,0,,
R_2OTJk9jZohSfhSm,een boek ,2,4,6,4.283,0,,
R_pGZjTA8wFerMwcV,een boek,2,4,6,3.398,0,,
R_ypTZBjEyvsMpFG9,de brochure,2,5,5,2.384,0,,
R_2YkUceTXXRwe7af,het artikel,2,3,5,2.218,0,,
R_3D2u0Wq74kM9j2C,het lezen,2,3,6,5.474,1,'gelijk' is geen goede aanduiding,
R_2Pv6m5XVNiv6pPQ,het boek,2,5,6,11.286,0,,
R_T1l2TIrq1do7Orn,het boek,2,5,5,6.164,0,,
R_9KphKBeCPmqzBCl,een interview,2,4,5,4.093,0,,
R_3qKjZplc0t8Y2IU,het handboek,2,3,6,10.524,1,ik struikelde over het woordje gelijk ( ik verwachtte meteen),
R_4GA7uQFTqbGKnlf,het boek,2,5,6,1.038,0,,
R_1hEVfCsYXJCzsVp,een boek,2,5,5,0.704,0,,
R_cHiCbzLrQrYeizP,GI,2,2,2,8.457,0,,
R_3fQa4YiudlrrSLd,de informatie,2,5,6,4.662,0,,
R_z0gtYvawsJg834J,een boek,2,5,6,3.974,0,,
R_2SvKoXHDxtivA4o,een boek,2,5,5,7.766,0,,
R_CeG821dsnmsmiZP,dat boek,2,5,6,1.985,0,,
R_3MG93Py9LV1lYqI,de brochure,2,5,6,2.395,0,,
R_UrtVng9RxUYqodr,een artikel,2,5,6,5.392,1,want wie leest er nou weer een heel boek over vliegtuigen voor je zeker weet dat je het leuk vindt?!,
R_yjxZCpumE2JuLwR,het boek,2,5,6,3.094,0,,
R_eOEX0Ye1lmhGlyl,de informatie,2,5,6,4.121,0,,
R_cCLhtJmTS5XidYl,een tijdschrift,2,5,6,4.252,0,,
R_vZ75WKEQFz64rIt,een boek,2,4,4,3.601,0,,
R_1Nzi2lWnM0CO3kn,de folder,2,4,4,19.196,0,,
R_2tu71tqKKoKbfJ0,een boek,2,4,6,4.898,0,,
R_2PdQi8meHWRd7Fb,een artikel,2,5,6,4.695,0,,
R_3PaHNs19NCzMVbu,het tijdschrift,2,4,4,1.726,0,,
R_CjK7Ok90OSXQ3XH,een boek,2,5,6,46.185,0,,
R_1lgEwIKXFHGT01V,het tijdschrift,2,5,6,2.227,0,,
R_2qq1JLwmdrdJM9d,een boek,2,5,6,3.682,0,,
R_ZrTEV9TpypUZEC5,een boek,2,5,6,4.056,0,,
R_3Gq55dSXHC6ANc8,het boek,2,5,6,4.577,0,,
R_3D8b4ozl4q217Ie,de informatie,2,3,4,6.344,0,,
R_qV03fIB34drHELn,een brochure,2,1,6,6.67,1,"onnatuurlijk wegens het gebruik van het woord ""gelijk"".",
R_1mRh44rpwMf0PbH,de brochure,2,5,6,0.865,1,Nope,
R_3gNkgaxQ9C21dQW,het boek,2,4,5,2.858,0,,
R_21umvRGJCCZXoit,een boek,2,5,6,5.78,0,,
R_BKctGx9a1Hi7w4h,de boter,3,4,3,6.609,0,,
R_u2ffULg0uVmoetj,de boter,3,3,3,4.902,0,,
R_2vf9l3GOwanVBOH,de chocola,3,5,6,0.657,0,,
R_OqjAwL4brYESqul,de chocolade,3,4,6,4.586,0,,
R_1LG8FwYsk4Xgq61,de boter,3,5,6,2.278,0,,
R_2wQZuV97sKRkDfp,de chocolade,3,4,6,1.198,0,,
R_2dsf9d9zlzEbaRw,de chocola,3,5,6,4.612,0,,
R_3j0ZzVXSe6NB0v0,de chocolade,3,3,6,5.738,1,"het antwoord is waarschijnlijk ""de boter"", maar doordat ik brownies aan chocolade verbindt, was dit het eerste dat bij me opkwam.",
R_2SqwKT4bUhZVaYX,de boter,3,5,6,5.541,0,,
R_6yuZ6GaDGqciNE1,de chocola,3,4,6,10.654,0,,
R_22DGKB9Dz59SJIt,?,3,1,2,5.551,1,Ik weet niet hoe je brownies maakt.,
R_5iDE07CUBSNZdqF,de chocolade,3,5,6,2.863,0,,
R_2w61flKU0TAtmrX,de chocola,3,4,6,2.508,0,,
R_2Y4gtCNHITcznSw,de boter,3,5,6,3.854,0,,
R_2qDHMLvHLCvMWMS,de boter,3,5,5,76.417,0,,
R_bg7cQUV93CWU245,de chocolade,3,5,6,8.158,0,,
R_2OTJk9jZohSfhSm,de boter ,3,4,6,3.061,0,,
R_pGZjTA8wFerMwcV,de boter,3,4,5,4.101,1,"Ik dacht ook aan 'chocola', maar nogmaals: hangt van het recept af.",
R_ypTZBjEyvsMpFG9,de chocolade,3,5,6,3.255,0,,
R_2YkUceTXXRwe7af,de chocolade,3,3,5,1.985,0,,
R_3D2u0Wq74kM9j2C,de chocolade,3,5,6,3.614,0,,
R_2Pv6m5XVNiv6pPQ,de chocolade,3,5,6,13.897,0,,
R_T1l2TIrq1do7Orn,de chocolade,3,4,5,4.006,0,,
R_9KphKBeCPmqzBCl,de boter,3,5,6,6.663,0,,
R_3qKjZplc0t8Y2IU,de boter,3,5,6,2.164,0,,
R_4GA7uQFTqbGKnlf,de boter,3,5,6,6.957,0,,
R_1hEVfCsYXJCzsVp,de chocola,3,4,5,1.084,0,,
R_cHiCbzLrQrYeizP,De boter ,3,5,6,5.255,0,,
R_3fQa4YiudlrrSLd,de boter,3,5,6,3.673,0,,
R_z0gtYvawsJg834J,de boter,3,2,2,3.708,0,,
R_2SvKoXHDxtivA4o,de chocolade,3,4,6,5.873,0,,
R_CeG821dsnmsmiZP,de chocolade,3,4,6,5.294,0,,
R_3MG93Py9LV1lYqI,de chocolade,3,5,6,1.799,0,,
R_UrtVng9RxUYqodr,de boter,3,5,6,9.136,0,,
R_yjxZCpumE2JuLwR,de chocola,3,5,6,3.611,0,,
R_eOEX0Ye1lmhGlyl,de boter,3,5,4,3.537,0,,
R_cCLhtJmTS5XidYl,de boter,3,5,6,12.371,0,,
R_vZ75WKEQFz64rIt,de chocolade,3,4,5,4.288,0,,
R_1Nzi2lWnM0CO3kn,de boter ,3,5,6,8.112,0,,
R_2tu71tqKKoKbfJ0,de chocola,3,4,6,5.264,0,,
R_2PdQi8meHWRd7Fb,de chocola,3,5,6,2.516,0,,
R_3PaHNs19NCzMVbu,de chocolade,3,5,6,50.76,0,,
R_CjK7Ok90OSXQ3XH,de chocola,3,5,6,2.755,0,,
R_1lgEwIKXFHGT01V,de chocolade,3,5,6,1.388,0,,
R_2qq1JLwmdrdJM9d,de boter,3,3,5,8.691,0,,
R_ZrTEV9TpypUZEC5,de chocola,3,5,6,2.994,0,,
R_3Gq55dSXHC6ANc8,de boter,3,5,6,8.43,0,,
R_3D8b4ozl4q217Ie,de chocolade,3,5,6,3.182,1,-,
R_qV03fIB34drHELn,de chocolade,3,5,6,2.849,0,,
R_1mRh44rpwMf0PbH,De chocolade,3,5,6,4.191,1,Nope,
R_3gNkgaxQ9C21dQW,de chocolade ,3,5,6,1.841,0,,
R_21umvRGJCCZXoit,de chocolade,3,3,6,6.341,0,,
R_BKctGx9a1Hi7w4h,de fiets,4,4,4,1.437,0,,
R_u2ffULg0uVmoetj,de fiets,4,5,6,2.557,0,,
R_2vf9l3GOwanVBOH,de fiets,4,5,5,0.555,0,,
R_OqjAwL4brYESqul,de fiets,4,3,6,4.078,1,'op de fiets naar hun werk',
R_1LG8FwYsk4Xgq61,de fiets,4,5,6,3.838,0,,
R_2wQZuV97sKRkDfp,de fiets,4,5,6,2.574,0,,
R_2dsf9d9zlzEbaRw,hun kantoor,4,4,5,3.63,0,,
R_3j0ZzVXSe6NB0v0,de fiets,4,5,6,11.396,0,,
R_2SqwKT4bUhZVaYX,de fiets,4,2,6,5.696,0,,
R_6yuZ6GaDGqciNE1,de fiets,4,4,6,9.14,0,,
R_22DGKB9Dz59SJIt,de fiets,4,5,5,17.041,0,,
R_5iDE07CUBSNZdqF,de fiets,4,4,6,8.977,0,,
R_2w61flKU0TAtmrX,de fiets,4,3,6,4.859,0,,
R_2Y4gtCNHITcznSw,de fiets,4,5,6,2.681,0,,
R_2qDHMLvHLCvMWMS,de fiets,4,5,6,2.477,0,,
R_bg7cQUV93CWU245,de fiets,4,5,6,3.565,0,,
R_2OTJk9jZohSfhSm,de fiets ,4,4,6,2.918,0,,
R_pGZjTA8wFerMwcV,de fiets,4,5,6,3.669,0,,
R_ypTZBjEyvsMpFG9,de fiets,4,5,6,2.996,0,,
R_2YkUceTXXRwe7af,de fiets,4,4,5,2.454,0,,
R_3D2u0Wq74kM9j2C,de fiets,4,5,6,5.647,0,,
R_2Pv6m5XVNiv6pPQ,de fiets,4,5,6,5.823,0,,
R_T1l2TIrq1do7Orn,de fiets,4,4,5,5.045,0,,
R_9KphKBeCPmqzBCl,de fiets,4,4,6,4.765,0,,
R_3qKjZplc0t8Y2IU,de fiets,4,3,6,7.761,0,,
R_4GA7uQFTqbGKnlf,de fiets,4,4,6,0.976,0,,
R_1hEVfCsYXJCzsVp,de fiets,4,3,5,1.325,0,,
R_cHiCbzLrQrYeizP,De fiets,4,5,6,32.034,0,,
R_3fQa4YiudlrrSLd,kantoor ,4,5,5,5.174,0,,
R_z0gtYvawsJg834J,de fiets,4,5,6,1.659,0,,
R_2SvKoXHDxtivA4o,de fiets,4,5,6,5.394,0,,
R_CeG821dsnmsmiZP,de fiets,4,3,6,1.825,1,"ik zou zeggen ""met de fiets"" en ""nemen de auto""",
R_3MG93Py9LV1lYqI,de fiets,4,4,6,2.047,0,,
R_UrtVng9RxUYqodr,de fiets,4,5,6,9.047,0,,
R_yjxZCpumE2JuLwR,de fiets,4,5,6,6.983,0,,
R_eOEX0Ye1lmhGlyl,de fiets,4,5,5,8.637,0,,
R_cCLhtJmTS5XidYl,de fiets,4,5,6,7.04,0,,
R_vZ75WKEQFz64rIt,de fiets,4,4,6,6.202,0,,
R_1Nzi2lWnM0CO3kn,de fiets,4,4,6,3.803,0,,
R_2tu71tqKKoKbfJ0,de fiets,4,3,6,11.188,0,,
R_2PdQi8meHWRd7Fb,de fiets,4,3,6,3.1,0,,
R_3PaHNs19NCzMVbu,de fiets,4,5,6,2.129,0,,
R_CjK7Ok90OSXQ3XH,hun fiets,4,5,6,3.574,0,,
R_1lgEwIKXFHGT01V,de fiets,4,5,6,1.751,0,,
R_2qq1JLwmdrdJM9d,de fiets,4,5,6,11.904,0,,
R_ZrTEV9TpypUZEC5,de fiets,4,5,6,404.536,0,,
R_3Gq55dSXHC6ANc8,de fiets,4,5,6,5.253,0,,
R_3D8b4ozl4q217Ie,de fiets,4,4,6,4.464,1,-,
R_qV03fIB34drHELn,maandag,4,4,2,16.746,0,,
R_1mRh44rpwMf0PbH,de Fiets,4,5,6,6.271,1,Nope,
R_3gNkgaxQ9C21dQW,de fiets ,4,5,6,5.205,0,,
R_21umvRGJCCZXoit,de fiets,4,4,5,6.454,0,,
R_BKctGx9a1Hi7w4h,de schat,5,5,6,1.443,0,,
R_u2ffULg0uVmoetj,de schat,5,5,6,3.482,0,,
R_2vf9l3GOwanVBOH,de schat,5,5,6,7.404,0,,
R_OqjAwL4brYESqul,de schat,5,3,6,6.477,1,'op het eiland' zou ik weglaten,
R_1LG8FwYsk4Xgq61,het benzinestation,5,5,6,3.256,0,,
R_2wQZuV97sKRkDfp,de schat,5,5,6,2.672,0,,
R_2dsf9d9zlzEbaRw,de schat,5,5,6,2.501,0,,
R_3j0ZzVXSe6NB0v0,de schat,5,5,6,6.675,0,,
R_2SqwKT4bUhZVaYX,de schat,5,5,6,7.818,0,,
R_6yuZ6GaDGqciNE1,de schat,5,5,6,6.102,0,,
R_22DGKB9Dz59SJIt,de schat,5,3,5,19.048,0,,
R_5iDE07CUBSNZdqF,de schat,5,4,6,3.75,0,,
R_2w61flKU0TAtmrX,de schat,5,5,6,2.846,0,,
R_2Y4gtCNHITcznSw,de schat,5,5,6,2.842,0,,
R_2qDHMLvHLCvMWMS,de schat,5,5,6,3.416,0,,
R_bg7cQUV93CWU245,de schat,5,4,6,4.035,0,,
R_2OTJk9jZohSfhSm,de schat ,5,4,6,3.486,0,,
R_pGZjTA8wFerMwcV,de schat,5,5,6,4.688,0,,
R_ypTZBjEyvsMpFG9,de schat,5,5,6,2.432,0,,
R_2YkUceTXXRwe7af,de schat,5,4,5,2.732,0,,
R_3D2u0Wq74kM9j2C,de schat,5,5,5,5.932,0,,
R_2Pv6m5XVNiv6pPQ,de schat,5,5,6,5.756,0,,
R_T1l2TIrq1do7Orn,de schat,5,4,4,6.078,0,,
R_9KphKBeCPmqzBCl,de schat,5,5,6,7.909,0,,
R_3qKjZplc0t8Y2IU,de schat,5,5,6,5.576,0,,
R_4GA7uQFTqbGKnlf,de schat,5,5,6,1.159,0,,
R_1hEVfCsYXJCzsVp,de schat,5,4,5,1.776,0,,
R_cHiCbzLrQrYeizP,De schat,5,5,6,6.094,0,,
R_3fQa4YiudlrrSLd,de schat,5,5,6,1.164,0,,
R_z0gtYvawsJg834J,de schat,5,5,6,1.537,0,,
R_2SvKoXHDxtivA4o,de schat,5,4,6,7.092,0,,
R_CeG821dsnmsmiZP,de schat,5,5,6,1.765,0,,
R_3MG93Py9LV1lYqI,de schat,5,5,6,1.625,0,,
R_UrtVng9RxUYqodr,de schat,5,5,6,4.229,0,,
R_yjxZCpumE2JuLwR,de schat,5,5,6,3.3,0,,
R_eOEX0Ye1lmhGlyl,de schat,5,5,6,13.344,0,,
R_cCLhtJmTS5XidYl,de schat,5,5,6,3.251,0,,
R_vZ75WKEQFz64rIt,de schat,5,5,6,2.394,0,,
R_1Nzi2lWnM0CO3kn,de schat,5,5,6,6.945,0,,
R_2tu71tqKKoKbfJ0,de schat,5,4,6,9.728,0,,
R_2PdQi8meHWRd7Fb,de schat,5,3,4,64.543,0,,
R_3PaHNs19NCzMVbu,de schat,5,5,6,3.01,0,,
R_CjK7Ok90OSXQ3XH,de schat,5,5,6,2.372,0,,
R_1lgEwIKXFHGT01V,de schat,5,5,6,1.07,0,,
R_2qq1JLwmdrdJM9d,de schat,5,5,6,4.213,0,,
R_ZrTEV9TpypUZEC5,de schat,5,5,6,55.624,0,,
R_3Gq55dSXHC6ANc8,de schat,5,5,6,3.885,0,,
R_3D8b4ozl4q217Ie,de schat,5,5,6,1.963,0,,
R_qV03fIB34drHELn,een schat,5,5,6,12.164,0,,
R_1mRh44rpwMf0PbH,de schat,5,5,6,4.729,0,,
R_3gNkgaxQ9C21dQW,De schat,5,5,6,2.69,0,,
R_21umvRGJCCZXoit,de schat,5,5,6,7.28,0,,
R_BKctGx9a1Hi7w4h,het zwembad,6,4,3,1.07,0,,
R_u2ffULg0uVmoetj,het zwembad,6,5,6,6.085,0,,
R_2vf9l3GOwanVBOH,het zwembad,6,5,6,0.723,0,,
R_OqjAwL4brYESqul,het zwembad,6,4,6,4.004,0,,
R_1LG8FwYsk4Xgq61,het zwembad,6,5,6,2.906,0,,
R_2wQZuV97sKRkDfp,het zwembad,6,5,6,1.348,0,,
R_2dsf9d9zlzEbaRw,het zwembad,6,4,6,5.396,0,,
R_3j0ZzVXSe6NB0v0,het zwembad,6,5,5,44.357,0,,
R_2SqwKT4bUhZVaYX,het zwembad,6,4,6,7.201,0,,
R_6yuZ6GaDGqciNE1,het zwembad,6,3,6,13.469,0,,
R_22DGKB9Dz59SJIt,het zwembad,6,4,6,14.895,0,,
R_5iDE07CUBSNZdqF,het zwembad,6,4,6,6.827,0,,
R_2w61flKU0TAtmrX,het zwembad,6,4,6,2.292,0,,
R_2Y4gtCNHITcznSw,het zwembad,6,5,6,4.498,0,,
R_2qDHMLvHLCvMWMS,het zwembad,6,3,6,11.948,0,,
R_bg7cQUV93CWU245,het zwembad,6,5,6,4.661,0,,
R_2OTJk9jZohSfhSm,het zwembad ,6,4,6,2.556,0,,
R_pGZjTA8wFerMwcV,het zwembad,6,5,6,10.509,0,,
R_ypTZBjEyvsMpFG9,het zwembad,6,4,5,3.816,0,,
R_2YkUceTXXRwe7af,het zwembad,6,4,5,1.786,0,,
R_3D2u0Wq74kM9j2C,het zwembad,6,5,4,1.08,0,,
R_2Pv6m5XVNiv6pPQ,het zwembad,6,5,6,14.757,0,,
R_T1l2TIrq1do7Orn,het zwembad,6,5,5,4.122,0,,
R_9KphKBeCPmqzBCl,het zwembad,6,4,6,12.662,0,,
R_3qKjZplc0t8Y2IU,het zwembad,6,5,6,1.946,0,,
R_4GA7uQFTqbGKnlf,het zwembad,6,5,5,1.038,0,,
R_1hEVfCsYXJCzsVp,het zwembad,6,5,5,7.276,0,,
R_cHiCbzLrQrYeizP,Het zwembad,6,5,6,7.709,0,,
R_3fQa4YiudlrrSLd,het zwembad,6,5,6,4.302,0,,
R_z0gtYvawsJg834J,het zwembad,6,5,6,2.117,0,,
R_2SvKoXHDxtivA4o,het zwembad,6,3,5,12.13,0,,
R_CeG821dsnmsmiZP,het zwembad,6,5,6,2.621,0,,
R_3MG93Py9LV1lYqI,het zwembad,6,3,6,1.421,0,,
R_UrtVng9RxUYqodr,het zwembad,6,4,6,13.002,0,,
R_yjxZCpumE2JuLwR,het zwembad,6,5,6,3.747,0,,
R_eOEX0Ye1lmhGlyl,het zwembad,6,5,6,35.533,0,,
R_cCLhtJmTS5XidYl,het zwembad,6,5,6,4.708,0,,
R_vZ75WKEQFz64rIt,het zwembad,6,4,5,2.638,0,,
R_1Nzi2lWnM0CO3kn,het zwembad,6,2,6,10.26,0,,
R_2tu71tqKKoKbfJ0,het zwembad,6,5,6,4.728,0,,
R_2PdQi8meHWRd7Fb,het zwembad,6,3,5,10.665,0,,
R_3PaHNs19NCzMVbu,het zwembad,6,5,6,4.704,0,,
R_CjK7Ok90OSXQ3XH,het zwembad,6,5,6,1.137,0,,
R_1lgEwIKXFHGT01V,het zwembad,6,3,6,1.283,0,,
R_2qq1JLwmdrdJM9d,het zwembad,6,5,6,8.205,0,,
R_ZrTEV9TpypUZEC5,het zwembad,6,5,6,4.069,0,,
R_3Gq55dSXHC6ANc8,het zwembad,6,3,6,7.216,0,,
R_3D8b4ozl4q217Ie,het zwembad,6,5,6,2.414,0,,
R_qV03fIB34drHELn,het zwembad,6,1,5,3.486,0,,
R_1mRh44rpwMf0PbH,het zwembad,6,5,6,4.63,0,,
R_3gNkgaxQ9C21dQW,Het zwembad ,6,5,6,5.684,0,,
R_21umvRGJCCZXoit,het zwembad,6,4,4,14.731,0,,
R_BKctGx9a1Hi7w4h,de thee,7,4,3,4.247,0,,
R_u2ffULg0uVmoetj,de thee,7,3,5,3.784,0,,
R_2vf9l3GOwanVBOH,de thee,7,5,6,0.752,0,,
R_OqjAwL4brYESqul,de thee,7,5,6,19.848,0,,
R_1LG8FwYsk4Xgq61,ons,7,5,6,3.781,0,,
R_2wQZuV97sKRkDfp,de thee,7,4,6,1.286,0,,
R_2dsf9d9zlzEbaRw,de thee,7,5,4,3.129,0,,
R_3j0ZzVXSe6NB0v0,de thee,7,5,6,55.643,0,,
R_2SqwKT4bUhZVaYX,de thee,7,5,6,10.819,0,,
R_6yuZ6GaDGqciNE1,de thee,7,5,6,14.835,0,,
R_22DGKB9Dz59SJIt,de thee,7,5,6,8.76,0,,
R_5iDE07CUBSNZdqF,de thee,7,4,6,7.04,0,,
R_2w61flKU0TAtmrX,de thee,7,5,6,4.33,0,,
R_2Y4gtCNHITcznSw,de thee,7,5,6,3.99,0,,
R_2qDHMLvHLCvMWMS,de thee,7,5,6,6.296,0,,
R_bg7cQUV93CWU245,de thee,7,5,6,7.538,0,,
R_2OTJk9jZohSfhSm,de thee ,7,4,6,4.492,0,,
R_pGZjTA8wFerMwcV,de thee,7,4,4,5.174,1,Ik dacht ook aan 'de gasten'.,
R_ypTZBjEyvsMpFG9,de thee,7,5,6,3.586,0,,
R_2YkUceTXXRwe7af,de thee,7,3,5,2.313,0,,
R_3D2u0Wq74kM9j2C,de thee,7,5,6,4.011,0,,
R_2Pv6m5XVNiv6pPQ,de thee,7,5,6,12.173,0,,
R_T1l2TIrq1do7Orn,de thee,7,4,6,5.479,0,,
R_9KphKBeCPmqzBCl,de thee,7,5,6,2.67,0,,
R_3qKjZplc0t8Y2IU,de thee,7,5,6,1.048,0,,
R_4GA7uQFTqbGKnlf,de thee,7,5,6,4.929,0,,
R_1hEVfCsYXJCzsVp,de thee,7,4,6,4.438,0,,
R_cHiCbzLrQrYeizP,De thee,7,4,5,6.91,0,,
R_3fQa4YiudlrrSLd,de thee,7,5,6,10.214,0,,
R_z0gtYvawsJg834J,de thee,7,5,6,45.251,0,,
R_2SvKoXHDxtivA4o,de thee,7,4,6,6.519,0,,
R_CeG821dsnmsmiZP,de thee,7,5,6,1.589,0,,
R_3MG93Py9LV1lYqI,de thee,7,5,6,1.647,0,,
R_UrtVng9RxUYqodr,de thee,7,5,6,5.428,0,,
R_yjxZCpumE2JuLwR,de thee,7,5,6,3.793,0,,
R_eOEX0Ye1lmhGlyl,de thee,7,5,6,6.403,0,,
R_cCLhtJmTS5XidYl,de thee,7,5,6,15.85,0,,
R_vZ75WKEQFz64rIt,de thee,7,4,5,4.145,0,,
R_1Nzi2lWnM0CO3kn,de thee,7,4,6,5.621,0,,
R_2tu71tqKKoKbfJ0,de thee,7,5,6,7.08,0,,
R_2PdQi8meHWRd7Fb,ons,7,4,5,10.771,0,,
R_3PaHNs19NCzMVbu,de thee,7,4,6,2.167,0,,
R_CjK7Ok90OSXQ3XH,de thee,7,5,6,61.234,0,,
R_1lgEwIKXFHGT01V,de thee,7,4,6,4.446,0,,
R_2qq1JLwmdrdJM9d,ons allen,7,2,3,21.312,0,,
R_ZrTEV9TpypUZEC5,de thee,7,5,6,5.04,0,,
R_3Gq55dSXHC6ANc8,de thee,7,2,3,47.312,0,,
R_3D8b4ozl4q217Ie,de thee,7,4,6,3.508,0,,
R_qV03fIB34drHELn,de thee,7,3,4,2.705,0,,
R_1mRh44rpwMf0PbH,de thee ,7,5,6,5.922,0,,
R_3gNkgaxQ9C21dQW,de thee,7,5,6,3.921,0,,
R_21umvRGJCCZXoit,haar dochter,7,3,4,16.916,0,,
R_BKctGx9a1Hi7w4h,de oven,8,4,5,0.964,0,,
R_u2ffULg0uVmoetj,de oven,8,3,6,2.957,0,,
R_2vf9l3GOwanVBOH,de oven,8,5,6,1.036,0,,
R_OqjAwL4brYESqul,de oven,8,3,6,4.485,1,"Ik zou liever dan i.p.v. zodat zien, en wellicht 'niet' achter het voorverwarmen van de oven zetten",
R_1LG8FwYsk4Xgq61,de oven,8,5,6,3.624,0,,
R_2wQZuV97sKRkDfp,de oven,8,5,6,1.077,0,,
R_2dsf9d9zlzEbaRw,de oven,8,5,6,2.432,0,,
R_3j0ZzVXSe6NB0v0,de oven,8,5,6,3.621,0,,
R_2SqwKT4bUhZVaYX,de oven,8,3,6,9.893,0,,
R_6yuZ6GaDGqciNE1,de oven,8,5,6,6.812,0,,
R_22DGKB9Dz59SJIt,de oven,8,5,6,3.054,0,,
R_5iDE07CUBSNZdqF,de oven,8,2,6,7.095,0,,
