subj_id,AdditCom,measure,sentID
R_BKctGx9a1Hi7w4h,,AdditCom,2
R_u2ffULg0uVmoetj,,AdditCom,2
R_2vf9l3GOwanVBOH,,AdditCom,2
R_OqjAwL4brYESqul,,AdditCom,2
R_1LG8FwYsk4Xgq61,,AdditCom,2
R_2wQZuV97sKRkDfp,,AdditCom,2
R_2dsf9d9zlzEbaRw,,AdditCom,2
R_3j0ZzVXSe6NB0v0,,AdditCom,2
R_2SqwKT4bUhZVaYX,,AdditCom,2
R_6yuZ6GaDGqciNE1,,AdditCom,2
R_22DGKB9Dz59SJIt,,AdditCom,2
R_5iDE07CUBSNZdqF,,AdditCom,2
R_2w61flKU0TAtmrX,,AdditCom,2
R_2Y4gtCNHITcznSw,,AdditCom,2
R_2qDHMLvHLCvMWMS,,AdditCom,2
R_bg7cQUV93CWU245,,AdditCom,2
R_2OTJk9jZohSfhSm,,AdditCom,2
R_pGZjTA8wFerMwcV,,AdditCom,2
R_ypTZBjEyvsMpFG9,,AdditCom,2
R_2YkUceTXXRwe7af,,AdditCom,2
R_3D2u0Wq74kM9j2C,'gelijk' is geen goede aanduiding,AdditCom,2
R_2Pv6m5XVNiv6pPQ,,AdditCom,2
R_T1l2TIrq1do7Orn,,AdditCom,2
R_9KphKBeCPmqzBCl,,AdditCom,2
R_3qKjZplc0t8Y2IU,ik struikelde over het woordje gelijk ( ik verwachtte meteen),AdditCom,2
R_4GA7uQFTqbGKnlf,,AdditCom,2
R_1hEVfCsYXJCzsVp,,AdditCom,2
R_cHiCbzLrQrYeizP,,AdditCom,2
R_3fQa4YiudlrrSLd,,AdditCom,2
R_z0gtYvawsJg834J,,AdditCom,2
R_2SvKoXHDxtivA4o,,AdditCom,2
R_CeG821dsnmsmiZP,,AdditCom,2
R_3MG93Py9LV1lYqI,,AdditCom,2
R_UrtVng9RxUYqodr,want wie leest er nou weer een heel boek over vliegtuigen voor je zeker weet dat je het leuk vindt?!,AdditCom,2
R_yjxZCpumE2JuLwR,,AdditCom,2
R_eOEX0Ye1lmhGlyl,,AdditCom,2
R_cCLhtJmTS5XidYl,,AdditCom,2
R_vZ75WKEQFz64rIt,,AdditCom,2
R_1Nzi2lWnM0CO3kn,,AdditCom,2
R_2tu71tqKKoKbfJ0,,AdditCom,2
R_2PdQi8meHWRd7Fb,,AdditCom,2
R_3PaHNs19NCzMVbu,,AdditCom,2
R_CjK7Ok90OSXQ3XH,,AdditCom,2
R_1lgEwIKXFHGT01V,,AdditCom,2
R_2qq1JLwmdrdJM9d,,AdditCom,2
R_ZrTEV9TpypUZEC5,,AdditCom,2
R_3Gq55dSXHC6ANc8,,AdditCom,2
R_3D8b4ozl4q217Ie,,AdditCom,2
R_qV03fIB34drHELn,"onnatuurlijk wegens het gebruik van het woord ""gelijk"".",AdditCom,2
R_1mRh44rpwMf0PbH,Nope,AdditCom,2
R_3gNkgaxQ9C21dQW,,AdditCom,2
R_21umvRGJCCZXoit,,AdditCom,2
R_BKctGx9a1Hi7w4h,,AdditCom,3
R_u2ffULg0uVmoetj,,AdditCom,3
R_2vf9l3GOwanVBOH,,AdditCom,3
R_OqjAwL4brYESqul,,AdditCom,3
R_1LG8FwYsk4Xgq61,,AdditCom,3
R_2wQZuV97sKRkDfp,,AdditCom,3
R_2dsf9d9zlzEbaRw,,AdditCom,3
R_3j0ZzVXSe6NB0v0,"het antwoord is waarschijnlijk ""de boter"", maar doordat ik brownies aan chocolade verbindt, was dit het eerste dat bij me opkwam.",AdditCom,3
R_2SqwKT4bUhZVaYX,,AdditCom,3
R_6yuZ6GaDGqciNE1,,AdditCom,3
R_22DGKB9Dz59SJIt,Ik weet niet hoe je brownies maakt.,AdditCom,3
R_5iDE07CUBSNZdqF,,AdditCom,3
R_2w61flKU0TAtmrX,,AdditCom,3
R_2Y4gtCNHITcznSw,,AdditCom,3
R_2qDHMLvHLCvMWMS,,AdditCom,3
R_bg7cQUV93CWU245,,AdditCom,3
R_2OTJk9jZohSfhSm,,AdditCom,3
R_pGZjTA8wFerMwcV,"Ik dacht ook aan 'chocola', maar nogmaals: hangt van het recept af.",AdditCom,3
R_ypTZBjEyvsMpFG9,,AdditCom,3
R_2YkUceTXXRwe7af,,AdditCom,3
R_3D2u0Wq74kM9j2C,,AdditCom,3
R_2Pv6m5XVNiv6pPQ,,AdditCom,3
R_T1l2TIrq1do7Orn,,AdditCom,3
R_9KphKBeCPmqzBCl,,AdditCom,3
R_3qKjZplc0t8Y2IU,,AdditCom,3
R_4GA7uQFTqbGKnlf,,AdditCom,3
R_1hEVfCsYXJCzsVp,,AdditCom,3
R_cHiCbzLrQrYeizP,,AdditCom,3
R_3fQa4YiudlrrSLd,,AdditCom,3
R_z0gtYvawsJg834J,,AdditCom,3
R_2SvKoXHDxtivA4o,,AdditCom,3
R_CeG821dsnmsmiZP,,AdditCom,3
R_3MG93Py9LV1lYqI,,AdditCom,3
R_UrtVng9RxUYqodr,,AdditCom,3
R_yjxZCpumE2JuLwR,,AdditCom,3
R_eOEX0Ye1lmhGlyl,,AdditCom,3
R_cCLhtJmTS5XidYl,,AdditCom,3
R_vZ75WKEQFz64rIt,,AdditCom,3
R_1Nzi2lWnM0CO3kn,,AdditCom,3
R_2tu71tqKKoKbfJ0,,AdditCom,3
R_2PdQi8meHWRd7Fb,,AdditCom,3
R_3PaHNs19NCzMVbu,,AdditCom,3
R_CjK7Ok90OSXQ3XH,,AdditCom,3
R_1lgEwIKXFHGT01V,,AdditCom,3
R_2qq1JLwmdrdJM9d,,AdditCom,3
R_ZrTEV9TpypUZEC5,,AdditCom,3
R_3Gq55dSXHC6ANc8,,AdditCom,3
R_3D8b4ozl4q217Ie,-,AdditCom,3
R_qV03fIB34drHELn,,AdditCom,3
R_1mRh44rpwMf0PbH,Nope,AdditCom,3
R_3gNkgaxQ9C21dQW,,AdditCom,3
R_21umvRGJCCZXoit,,AdditCom,3
R_BKctGx9a1Hi7w4h,,AdditCom,4
R_u2ffULg0uVmoetj,,AdditCom,4
R_2vf9l3GOwanVBOH,,AdditCom,4
R_OqjAwL4brYESqul,'op de fiets naar hun werk',AdditCom,4
R_1LG8FwYsk4Xgq61,,AdditCom,4
R_2wQZuV97sKRkDfp,,AdditCom,4
R_2dsf9d9zlzEbaRw,,AdditCom,4
R_3j0ZzVXSe6NB0v0,,AdditCom,4
R_2SqwKT4bUhZVaYX,,AdditCom,4
R_6yuZ6GaDGqciNE1,,AdditCom,4
R_22DGKB9Dz59SJIt,,AdditCom,4
R_5iDE07CUBSNZdqF,,AdditCom,4
R_2w61flKU0TAtmrX,,AdditCom,4
R_2Y4gtCNHITcznSw,,AdditCom,4
R_2qDHMLvHLCvMWMS,,AdditCom,4
R_bg7cQUV93CWU245,,AdditCom,4
R_2OTJk9jZohSfhSm,,AdditCom,4
R_pGZjTA8wFerMwcV,,AdditCom,4
R_ypTZBjEyvsMpFG9,,AdditCom,4
R_2YkUceTXXRwe7af,,AdditCom,4
R_3D2u0Wq74kM9j2C,,AdditCom,4
R_2Pv6m5XVNiv6pPQ,,AdditCom,4
R_T1l2TIrq1do7Orn,,AdditCom,4
R_9KphKBeCPmqzBCl,,AdditCom,4
R_3qKjZplc0t8Y2IU,,AdditCom,4
R_4GA7uQFTqbGKnlf,,AdditCom,4
R_1hEVfCsYXJCzsVp,,AdditCom,4
R_cHiCbzLrQrYeizP,,AdditCom,4
R_3fQa4YiudlrrSLd,,AdditCom,4
R_z0gtYvawsJg834J,,AdditCom,4
R_2SvKoXHDxtivA4o,,AdditCom,4
R_CeG821dsnmsmiZP,"ik zou zeggen ""met de fiets"" en ""nemen de auto""",AdditCom,4
R_3MG93Py9LV1lYqI,,AdditCom,4
R_UrtVng9RxUYqodr,,AdditCom,4
R_yjxZCpumE2JuLwR,,AdditCom,4
R_eOEX0Ye1lmhGlyl,,AdditCom,4
R_cCLhtJmTS5XidYl,,AdditCom,4
R_vZ75WKEQFz64rIt,,AdditCom,4
R_1Nzi2lWnM0CO3kn,,AdditCom,4
R_2tu71tqKKoKbfJ0,,AdditCom,4
R_2PdQi8meHWRd7Fb,,AdditCom,4
R_3PaHNs19NCzMVbu,,AdditCom,4
R_CjK7Ok90OSXQ3XH,,AdditCom,4
R_1lgEwIKXFHGT01V,,AdditCom,4
R_2qq1JLwmdrdJM9d,,AdditCom,4
R_ZrTEV9TpypUZEC5,,AdditCom,4
R_3Gq55dSXHC6ANc8,,AdditCom,4
R_3D8b4ozl4q217Ie,-,AdditCom,4
R_qV03fIB34drHELn,,AdditCom,4
R_1mRh44rpwMf0PbH,Nope,AdditCom,4
R_3gNkgaxQ9C21dQW,,AdditCom,4
R_21umvRGJCCZXoit,,AdditCom,4
R_BKctGx9a1Hi7w4h,,AdditCom,5
R_u2ffULg0uVmoetj,,AdditCom,5
R_2vf9l3GOwanVBOH,,AdditCom,5
R_OqjAwL4brYESqul,'op het eiland' zou ik weglaten,AdditCom,5
R_1LG8FwYsk4Xgq61,,AdditCom,5
R_2wQZuV97sKRkDfp,,AdditCom,5
R_2dsf9d9zlzEbaRw,,AdditCom,5
R_3j0ZzVXSe6NB0v0,,AdditCom,5
R_2SqwKT4bUhZVaYX,,AdditCom,5
R_6yuZ6GaDGqciNE1,,AdditCom,5
R_22DGKB9Dz59SJIt,,AdditCom,5
R_5iDE07CUBSNZdqF,,AdditCom,5
R_2w61flKU0TAtmrX,,AdditCom,5
R_2Y4gtCNHITcznSw,,AdditCom,5
R_2qDHMLvHLCvMWMS,,AdditCom,5
R_bg7cQUV93CWU245,,AdditCom,5
R_2OTJk9jZohSfhSm,,AdditCom,5
R_pGZjTA8wFerMwcV,,AdditCom,5
R_ypTZBjEyvsMpFG9,,AdditCom,5
R_2YkUceTXXRwe7af,,AdditCom,5
R_3D2u0Wq74kM9j2C,,AdditCom,5
R_2Pv6m5XVNiv6pPQ,,AdditCom,5
R_T1l2TIrq1do7Orn,,AdditCom,5
R_9KphKBeCPmqzBCl,,AdditCom,5
R_3qKjZplc0t8Y2IU,,AdditCom,5
R_4GA7uQFTqbGKnlf,,AdditCom,5
R_1hEVfCsYXJCzsVp,,AdditCom,5
R_cHiCbzLrQrYeizP,,AdditCom,5
R_3fQa4YiudlrrSLd,,AdditCom,5
R_z0gtYvawsJg834J,,AdditCom,5
R_2SvKoXHDxtivA4o,,AdditCom,5
R_CeG821dsnmsmiZP,,AdditCom,5
R_3MG93Py9LV1lYqI,,AdditCom,5
R_UrtVng9RxUYqodr,,AdditCom,5
R_yjxZCpumE2JuLwR,,AdditCom,5
R_eOEX0Ye1lmhGlyl,,AdditCom,5
R_cCLhtJmTS5XidYl,,AdditCom,5
R_vZ75WKEQFz64rIt,,AdditCom,5
R_1Nzi2lWnM0CO3kn,,AdditCom,5
R_2tu71tqKKoKbfJ0,,AdditCom,5
R_2PdQi8meHWRd7Fb,,AdditCom,5
R_3PaHNs19NCzMVbu,,AdditCom,5
R_CjK7Ok90OSXQ3XH,,AdditCom,5
R_1lgEwIKXFHGT01V,,AdditCom,5
R_2qq1JLwmdrdJM9d,,AdditCom,5
R_ZrTEV9TpypUZEC5,,AdditCom,5
R_3Gq55dSXHC6ANc8,,AdditCom,5
R_3D8b4ozl4q217Ie,,AdditCom,5
R_qV03fIB34drHELn,,AdditCom,5
R_1mRh44rpwMf0PbH,,AdditCom,5
R_3gNkgaxQ9C21dQW,,AdditCom,5
R_21umvRGJCCZXoit,,AdditCom,5
R_BKctGx9a1Hi7w4h,,AdditCom,7
R_u2ffULg0uVmoetj,,AdditCom,7
R_2vf9l3GOwanVBOH,,AdditCom,7
R_OqjAwL4brYESqul,,AdditCom,7
R_1LG8FwYsk4Xgq61,,AdditCom,7
R_2wQZuV97sKRkDfp,,AdditCom,7
R_2dsf9d9zlzEbaRw,,AdditCom,7
R_3j0ZzVXSe6NB0v0,,AdditCom,7
R_2SqwKT4bUhZVaYX,,AdditCom,7
R_6yuZ6GaDGqciNE1,,AdditCom,7
R_22DGKB9Dz59SJIt,,AdditCom,7
R_5iDE07CUBSNZdqF,,AdditCom,7
R_2w61flKU0TAtmrX,,AdditCom,7
R_2Y4gtCNHITcznSw,,AdditCom,7
R_2qDHMLvHLCvMWMS,,AdditCom,7
R_bg7cQUV93CWU245,,AdditCom,7
R_2OTJk9jZohSfhSm,,AdditCom,7
R_pGZjTA8wFerMwcV,Ik dacht ook aan 'de gasten'.,AdditCom,7
R_ypTZBjEyvsMpFG9,,AdditCom,7
R_2YkUceTXXRwe7af,,AdditCom,7
R_3D2u0Wq74kM9j2C,,AdditCom,7
R_2Pv6m5XVNiv6pPQ,,AdditCom,7
R_T1l2TIrq1do7Orn,,AdditCom,7
R_9KphKBeCPmqzBCl,,AdditCom,7
R_3qKjZplc0t8Y2IU,,AdditCom,7
R_4GA7uQFTqbGKnlf,,AdditCom,7
R_1hEVfCsYXJCzsVp,,AdditCom,7
R_cHiCbzLrQrYeizP,,AdditCom,7
R_3fQa4YiudlrrSLd,,AdditCom,7
R_z0gtYvawsJg834J,,AdditCom,7
R_2SvKoXHDxtivA4o,,AdditCom,7
R_CeG821dsnmsmiZP,,AdditCom,7
R_3MG93Py9LV1lYqI,,AdditCom,7
R_UrtVng9RxUYqodr,,AdditCom,7
R_yjxZCpumE2JuLwR,,AdditCom,7
R_eOEX0Ye1lmhGlyl,,AdditCom,7
R_cCLhtJmTS5XidYl,,AdditCom,7
R_vZ75WKEQFz64rIt,,AdditCom,7
R_1Nzi2lWnM0CO3kn,,AdditCom,7
R_2tu71tqKKoKbfJ0,,AdditCom,7
R_2PdQi8meHWRd7Fb,,AdditCom,7
R_3PaHNs19NCzMVbu,,AdditCom,7
R_CjK7Ok90OSXQ3XH,,AdditCom,7
R_1lgEwIKXFHGT01V,,AdditCom,7
R_2qq1JLwmdrdJM9d,,AdditCom,7
R_ZrTEV9TpypUZEC5,,AdditCom,7
R_3Gq55dSXHC6ANc8,,AdditCom,7
R_3D8b4ozl4q217Ie,,AdditCom,7
R_qV03fIB34drHELn,,AdditCom,7
R_1mRh44rpwMf0PbH,,AdditCom,7
R_3gNkgaxQ9C21dQW,,AdditCom,7
R_21umvRGJCCZXoit,,AdditCom,7
R_BKctGx9a1Hi7w4h,,AdditCom,8
R_u2ffULg0uVmoetj,,AdditCom,8
R_2vf9l3GOwanVBOH,,AdditCom,8
R_OqjAwL4brYESqul,"Ik zou liever dan i.p.v. zodat zien, en wellicht 'niet' achter het voorverwarmen van de oven zetten",AdditCom,8
R_1LG8FwYsk4Xgq61,,AdditCom,8
R_2wQZuV97sKRkDfp,,AdditCom,8
R_2dsf9d9zlzEbaRw,,AdditCom,8
R_3j0ZzVXSe6NB0v0,,AdditCom,8
R_2SqwKT4bUhZVaYX,,AdditCom,8
R_6yuZ6GaDGqciNE1,,AdditCom,8
R_22DGKB9Dz59SJIt,,AdditCom,8
R_5iDE07CUBSNZdqF,,AdditCom,8
R_2w61flKU0TAtmrX,,AdditCom,8
R_2Y4gtCNHITcznSw,,AdditCom,8
R_2qDHMLvHLCvMWMS,,AdditCom,8
R_bg7cQUV93CWU245,,AdditCom,8
R_2OTJk9jZohSfhSm,,AdditCom,8
R_pGZjTA8wFerMwcV,Waarop zou je moeten wachten? Wat is de rest van het recept? (Zit er saus op?) Context nodig.,AdditCom,8
R_ypTZBjEyvsMpFG9,,AdditCom,8
R_2YkUceTXXRwe7af,,AdditCom,8
R_3D2u0Wq74kM9j2C,,AdditCom,8
R_2Pv6m5XVNiv6pPQ,,AdditCom,8
R_T1l2TIrq1do7Orn,,AdditCom,8
R_9KphKBeCPmqzBCl,,AdditCom,8
R_3qKjZplc0t8Y2IU,,AdditCom,8
R_4GA7uQFTqbGKnlf,,AdditCom,8
R_1hEVfCsYXJCzsVp,,AdditCom,8
R_cHiCbzLrQrYeizP,,AdditCom,8
R_3fQa4YiudlrrSLd,,AdditCom,8
R_z0gtYvawsJg834J,,AdditCom,8
R_2SvKoXHDxtivA4o,,AdditCom,8
R_CeG821dsnmsmiZP,,AdditCom,8
R_3MG93Py9LV1lYqI,,AdditCom,8
R_UrtVng9RxUYqodr,,AdditCom,8
R_yjxZCpumE2JuLwR,,AdditCom,8
R_eOEX0Ye1lmhGlyl,,AdditCom,8
R_cCLhtJmTS5XidYl,,AdditCom,8
R_vZ75WKEQFz64rIt,,AdditCom,8
R_1Nzi2lWnM0CO3kn,,AdditCom,8
R_2tu71tqKKoKbfJ0,,AdditCom,8
R_2PdQi8meHWRd7Fb,,AdditCom,8
R_3PaHNs19NCzMVbu,,AdditCom,8
R_CjK7Ok90OSXQ3XH,,AdditCom,8
R_1lgEwIKXFHGT01V,,AdditCom,8
R_2qq1JLwmdrdJM9d,,AdditCom,8
R_ZrTEV9TpypUZEC5,,AdditCom,8
R_3Gq55dSXHC6ANc8,,AdditCom,8
R_3D8b4ozl4q217Ie,-,AdditCom,8
R_qV03fIB34drHELn,,AdditCom,8
R_1mRh44rpwMf0PbH,,AdditCom,8
R_3gNkgaxQ9C21dQW,,AdditCom,8
R_21umvRGJCCZXoit,,AdditCom,8
R_BKctGx9a1Hi7w4h,,AdditCom,9
R_u2ffULg0uVmoetj,,AdditCom,9
R_2vf9l3GOwanVBOH,,AdditCom,9
R_OqjAwL4brYESqul,,AdditCom,9
R_1LG8FwYsk4Xgq61,,AdditCom,9
R_2wQZuV97sKRkDfp,,AdditCom,9
R_2dsf9d9zlzEbaRw,,AdditCom,9
R_3j0ZzVXSe6NB0v0,"Ik gebruik zelden verkleinwoorden, dus ik vind dit een vreemde ontwikkeling.",AdditCom,9
R_2SqwKT4bUhZVaYX,,AdditCom,9
R_6yuZ6GaDGqciNE1,,AdditCom,9
R_22DGKB9Dz59SJIt,,AdditCom,9
R_5iDE07CUBSNZdqF,,AdditCom,9
R_2w61flKU0TAtmrX,,AdditCom,9
R_2Y4gtCNHITcznSw,,AdditCom,9
R_2qDHMLvHLCvMWMS,,AdditCom,9
R_bg7cQUV93CWU245,Meervoud met lidwoord?,AdditCom,9
R_2OTJk9jZohSfhSm,,AdditCom,9
R_pGZjTA8wFerMwcV,Het lidwoord is vreemd. (Ik wilde eigenlijk 'cadeaus' zeggen.),AdditCom,9
R_ypTZBjEyvsMpFG9,,AdditCom,9
R_2YkUceTXXRwe7af,,AdditCom,9
R_3D2u0Wq74kM9j2C,,AdditCom,9
R_2Pv6m5XVNiv6pPQ,,AdditCom,9
R_T1l2TIrq1do7Orn,,AdditCom,9
R_9KphKBeCPmqzBCl,,AdditCom,9
R_3qKjZplc0t8Y2IU,,AdditCom,9
R_4GA7uQFTqbGKnlf,,AdditCom,9
R_1hEVfCsYXJCzsVp,,AdditCom,9
R_cHiCbzLrQrYeizP,Ik vind het lidwoord hier heel onnatuurlijk,AdditCom,9
R_3fQa4YiudlrrSLd,,AdditCom,9
R_z0gtYvawsJg834J,,AdditCom,9
R_2SvKoXHDxtivA4o,,AdditCom,9
R_CeG821dsnmsmiZP,,AdditCom,9
R_3MG93Py9LV1lYqI,,AdditCom,9
R_UrtVng9RxUYqodr,Hoeft natuurlijk niet een verkleinwoord te zijn.... maar is wel leuker!,AdditCom,9
R_yjxZCpumE2JuLwR,,AdditCom,9
R_eOEX0Ye1lmhGlyl,,AdditCom,9
R_cCLhtJmTS5XidYl,,AdditCom,9
R_vZ75WKEQFz64rIt,,AdditCom,9
R_1Nzi2lWnM0CO3kn,,AdditCom,9
R_2tu71tqKKoKbfJ0,,AdditCom,9
R_2PdQi8meHWRd7Fb,,AdditCom,9
R_3PaHNs19NCzMVbu,,AdditCom,9
R_CjK7Ok90OSXQ3XH,,AdditCom,9
R_1lgEwIKXFHGT01V,,AdditCom,9
R_2qq1JLwmdrdJM9d,,AdditCom,9
R_ZrTEV9TpypUZEC5,,AdditCom,9
R_3Gq55dSXHC6ANc8,,AdditCom,9
R_3D8b4ozl4q217Ie,,AdditCom,9
R_qV03fIB34drHELn,,AdditCom,9
R_1mRh44rpwMf0PbH,Nope,AdditCom,9
R_3gNkgaxQ9C21dQW,,AdditCom,9
R_21umvRGJCCZXoit,,AdditCom,9
R_BKctGx9a1Hi7w4h,,AdditCom,10
R_u2ffULg0uVmoetj,,AdditCom,10
R_2vf9l3GOwanVBOH,,AdditCom,10
R_OqjAwL4brYESqul,,AdditCom,10
R_1LG8FwYsk4Xgq61,,AdditCom,10
R_2wQZuV97sKRkDfp,had hier graag een bijvoeglijk naamwoord willen toevoegen.,AdditCom,10
R_2dsf9d9zlzEbaRw,,AdditCom,10
R_3j0ZzVXSe6NB0v0,,AdditCom,10
R_2SqwKT4bUhZVaYX,,AdditCom,10
R_6yuZ6GaDGqciNE1,,AdditCom,10
R_22DGKB9Dz59SJIt,,AdditCom,10
R_5iDE07CUBSNZdqF,,AdditCom,10
R_2w61flKU0TAtmrX,,AdditCom,10
R_2Y4gtCNHITcznSw,,AdditCom,10
R_2qDHMLvHLCvMWMS,,AdditCom,10
R_bg7cQUV93CWU245,,AdditCom,10
R_2OTJk9jZohSfhSm,"onnatuurlijkheid kwam vooral door de combinatie van 'team' en 'club', maar ik kon geen andere invulling bedenken ",AdditCom,10
R_pGZjTA8wFerMwcV,,AdditCom,10
R_ypTZBjEyvsMpFG9,,AdditCom,10
R_2YkUceTXXRwe7af,,AdditCom,10
R_3D2u0Wq74kM9j2C,,AdditCom,10
R_2Pv6m5XVNiv6pPQ,,AdditCom,10
R_T1l2TIrq1do7Orn,,AdditCom,10
R_9KphKBeCPmqzBCl,,AdditCom,10
R_3qKjZplc0t8Y2IU,,AdditCom,10
R_4GA7uQFTqbGKnlf,,AdditCom,10
R_1hEVfCsYXJCzsVp,,AdditCom,10
R_cHiCbzLrQrYeizP,,AdditCom,10
R_3fQa4YiudlrrSLd,,AdditCom,10
R_z0gtYvawsJg834J,,AdditCom,10
R_2SvKoXHDxtivA4o,,AdditCom,10
R_CeG821dsnmsmiZP,,AdditCom,10
R_3MG93Py9LV1lYqI,,AdditCom,10
R_UrtVng9RxUYqodr,ik snap sport niet,AdditCom,10
R_yjxZCpumE2JuLwR,,AdditCom,10
R_eOEX0Ye1lmhGlyl,,AdditCom,10
R_cCLhtJmTS5XidYl,,AdditCom,10
R_vZ75WKEQFz64rIt,,AdditCom,10
R_1Nzi2lWnM0CO3kn,,AdditCom,10
R_2tu71tqKKoKbfJ0,,AdditCom,10
R_2PdQi8meHWRd7Fb,,AdditCom,10
R_3PaHNs19NCzMVbu,,AdditCom,10
R_CjK7Ok90OSXQ3XH,,AdditCom,10
R_1lgEwIKXFHGT01V,,AdditCom,10
R_2qq1JLwmdrdJM9d,,AdditCom,10
R_ZrTEV9TpypUZEC5,,AdditCom,10
R_3Gq55dSXHC6ANc8,,AdditCom,10
R_3D8b4ozl4q217Ie,,AdditCom,10
R_qV03fIB34drHELn,,AdditCom,10
R_1mRh44rpwMf0PbH,nope,AdditCom,10
R_3gNkgaxQ9C21dQW,,AdditCom,10
R_21umvRGJCCZXoit,,AdditCom,10
R_BKctGx9a1Hi7w4h,,AdditCom,11
R_u2ffULg0uVmoetj,,AdditCom,11
R_2vf9l3GOwanVBOH,,AdditCom,11
R_OqjAwL4brYESqul,'naar haar huis' voelt niet goed hier.,AdditCom,11
R_1LG8FwYsk4Xgq61,,AdditCom,11
R_2wQZuV97sKRkDfp,zinsstructuur bijzin heeft niet mijn voorkeur,AdditCom,11
R_2dsf9d9zlzEbaRw,,AdditCom,11
R_3j0ZzVXSe6NB0v0,,AdditCom,11
R_2SqwKT4bUhZVaYX,,AdditCom,11
R_6yuZ6GaDGqciNE1,,AdditCom,11
R_22DGKB9Dz59SJIt,,AdditCom,11
R_5iDE07CUBSNZdqF,,AdditCom,11
R_2w61flKU0TAtmrX,,AdditCom,11
R_2Y4gtCNHITcznSw,,AdditCom,11
R_2qDHMLvHLCvMWMS,,AdditCom,11
R_bg7cQUV93CWU245,,AdditCom,11
R_2OTJk9jZohSfhSm,,AdditCom,11
R_pGZjTA8wFerMwcV,,AdditCom,11
R_ypTZBjEyvsMpFG9,,AdditCom,11
R_2YkUceTXXRwe7af,,AdditCom,11
R_3D2u0Wq74kM9j2C,,AdditCom,11
R_2Pv6m5XVNiv6pPQ,,AdditCom,11
R_T1l2TIrq1do7Orn,,AdditCom,11
R_9KphKBeCPmqzBCl,,AdditCom,11
R_3qKjZplc0t8Y2IU,,AdditCom,11
R_4GA7uQFTqbGKnlf,Ook hier zou ik de zin andersom verwachten: 'naar haar huis met de post',AdditCom,11
R_1hEVfCsYXJCzsVp,,AdditCom,11
R_cHiCbzLrQrYeizP,,AdditCom,11
R_3fQa4YiudlrrSLd,,AdditCom,11
R_z0gtYvawsJg834J,,AdditCom,11
R_2SvKoXHDxtivA4o,,AdditCom,11
R_CeG821dsnmsmiZP,ik zou zeggen: ... die ik met de post verzond naar haar huis,AdditCom,11
R_3MG93Py9LV1lYqI,,AdditCom,11
R_UrtVng9RxUYqodr,de PTT? de postduif? mijn hersenen willen te veel,AdditCom,11
