subj_id,qual_col,Completion,measure,row,sentID
R_3FPt6NNv7fs4bHV,Comp(2),het strand,Comp,2,144
R_2uOs8d5Okoyss7z,Comp(2),het strand,Comp,2,144
R_1JEdl2aEMuUO63f,Comp(2),het strand,Comp,2,144
R_6L3ln2BoQAzJw2d,Comp(2),het strand,Comp,2,144
R_xAA7goWcKMvmb1D,Comp(2),het strand,Comp,2,144
R_248iCMeSwyLS8sF,Comp(2),het strand,Comp,2,144
R_OING4tGkg3q8VLb,Comp(2),het vliegveld,Comp,2,144
R_3kvbwPackXPANmo,Comp(2),het strand,Comp,2,144
R_3lRiG6M8Z6vKWZh,Comp(2),het strand,Comp,2,144
R_3q9cZ9NJjEx872v,Comp(2),het strand,Comp,2,144
R_ABt8n7PxUqkXqy5,Comp(2),Het strand,Comp,2,144
R_3k6rPDoCD4kup7x,Comp(2),het strand,Comp,2,144
R_p6iBXJstulO97Jn,Comp(2),Het strand,Comp,2,144
R_USFewLQTXHp0kPT,Comp(2),het strand,Comp,2,144
R_1AeLfMZXZ76HTHz,Comp(3),sd,Comp,3,145
R_vrAH2qrxu41QSv7,Comp(3),de lift,Comp,3,145
R_6Pg4ql6MQumxZo9,Comp(3),de lift,Comp,3,145
R_1QaBlAsk46HI9NJ,Comp(3),de lift,Comp,3,145
R_pKtuHvEeh5mujgl,Comp(3),de lift,Comp,3,145
R_RrYmeJDnKB3hv7r,Comp(3),de lift ,Comp,3,145
R_2alPe2ZkILnzWYp,Comp(3),de lift,Comp,3,145
R_24zMzQY1U9LX5Gf,Comp(3),de lift,Comp,3,145
R_2zAp7MZjWbJtouD,Comp(3),de lift,Comp,3,145
R_1lgea30X5yRbWgb,Comp(3),Lift,Comp,3,145
R_1dg0dAPlymYfFcu,Comp(3),de lift,Comp,3,145
R_23TSscPxb3G1aSA,Comp(3),lift,Comp,3,145
R_3effdDALVVpFhkK,Comp(3),de lift,Comp,3,145
R_2PpvbvcItA8LcqM,Comp(3),de lift,Comp,3,145
R_25WvorTEPc7DuHX,Comp(3),de lift,Comp,3,145
R_ZJCIt5D6m80Wim5,Comp(3),De lift,Comp,3,145
R_6gQpeEEoAOw1CNz,Comp(3),de lift,Comp,3,145
R_UcJP3naTdDXJEDn,Comp(3),De lift,Comp,3,145
R_21pKbw8vqrjpJ4Q,Comp(3),de lift,Comp,3,145
R_1HiWKvIl546M44z,Comp(3),de lift,Comp,3,145
R_BFIiDPrnKiKOhkB,Comp(3),de lift ,Comp,3,145
R_232AZeZQOdbRSAK,Comp(3),de lift,Comp,3,145
R_1odMwWpdALe3A7c,Comp(3),de lift,Comp,3,145
R_3CMZ1prTdwstnIi,Comp(3),de lift ,Comp,3,145
R_2SDkvNUYWKzQ9b4,Comp(3),de lift,Comp,3,145
R_2qwqWlqovi1EnxK,Comp(3),de lift,Comp,3,145
R_1nSW9rReHHlwpSQ,Comp(3),De lift ,Comp,3,145
R_3FPt6NNv7fs4bHV,Comp(3),de lift,Comp,3,145
R_2uOs8d5Okoyss7z,Comp(3),de lift,Comp,3,145
R_1JEdl2aEMuUO63f,Comp(3),de lift,Comp,3,145
R_6L3ln2BoQAzJw2d,Comp(3),de lift,Comp,3,145
R_xAA7goWcKMvmb1D,Comp(3),de lift,Comp,3,145
R_248iCMeSwyLS8sF,Comp(3),de lift,Comp,3,145
R_OING4tGkg3q8VLb,Comp(3),de lift,Comp,3,145
R_3kvbwPackXPANmo,Comp(3),de lift,Comp,3,145
R_3lRiG6M8Z6vKWZh,Comp(3),de lift,Comp,3,145
R_3q9cZ9NJjEx872v,Comp(3),de deur,Comp,3,145
R_ABt8n7PxUqkXqy5,Comp(3),De lift,Comp,3,145
R_3k6rPDoCD4kup7x,Comp(3),de lift,Comp,3,145
R_p6iBXJstulO97Jn,Comp(3),de lift,Comp,3,145
R_USFewLQTXHp0kPT,Comp(3),de lift,Comp,3,145
R_1AeLfMZXZ76HTHz,Comp(4),sd,Comp,4,146
R_vrAH2qrxu41QSv7,Comp(4),de auto,Comp,4,146
R_6Pg4ql6MQumxZo9,Comp(4),de auto,Comp,4,146
R_1QaBlAsk46HI9NJ,Comp(4),de auto,Comp,4,146
R_pKtuHvEeh5mujgl,Comp(4),de auto,Comp,4,146
R_RrYmeJDnKB3hv7r,Comp(4),de auto,Comp,4,146
R_2alPe2ZkILnzWYp,Comp(4),de auto,Comp,4,146
R_24zMzQY1U9LX5Gf,Comp(4),de fiets,Comp,4,146
R_2zAp7MZjWbJtouD,Comp(4),de auto,Comp,4,146
R_1lgea30X5yRbWgb,Comp(4),Auto,Comp,4,146
R_1dg0dAPlymYfFcu,Comp(4),de auto,Comp,4,146
R_23TSscPxb3G1aSA,Comp(4),auto,Comp,4,146
R_3effdDALVVpFhkK,Comp(4),de brommer,Comp,4,146
R_2PpvbvcItA8LcqM,Comp(4),de auto,Comp,4,146
R_25WvorTEPc7DuHX,Comp(4),de auto,Comp,4,146
R_ZJCIt5D6m80Wim5,Comp(4),De auto,Comp,4,146
R_6gQpeEEoAOw1CNz,Comp(4),de auto,Comp,4,146
R_UcJP3naTdDXJEDn,Comp(4),De auto ,Comp,4,146
R_21pKbw8vqrjpJ4Q,Comp(4),de auto,Comp,4,146
R_1HiWKvIl546M44z,Comp(4),de auto,Comp,4,146
R_BFIiDPrnKiKOhkB,Comp(4),de auto,Comp,4,146
R_232AZeZQOdbRSAK,Comp(4),de fiets,Comp,4,146
R_1odMwWpdALe3A7c,Comp(4),de auto,Comp,4,146
R_3CMZ1prTdwstnIi,Comp(4),de auto ,Comp,4,146
R_2SDkvNUYWKzQ9b4,Comp(4),de auto,Comp,4,146
R_2qwqWlqovi1EnxK,Comp(4),de auto,Comp,4,146
R_1nSW9rReHHlwpSQ,Comp(4),De auto,Comp,4,146
R_3FPt6NNv7fs4bHV,Comp(4),de fiets,Comp,4,146
R_2uOs8d5Okoyss7z,Comp(4),de auto,Comp,4,146
R_1JEdl2aEMuUO63f,Comp(4),de auto,Comp,4,146
R_6L3ln2BoQAzJw2d,Comp(4),de auto,Comp,4,146
R_xAA7goWcKMvmb1D,Comp(4),de fiets,Comp,4,146
R_248iCMeSwyLS8sF,Comp(4),de tuk-tuk,Comp,4,146
R_OING4tGkg3q8VLb,Comp(4),de auto,Comp,4,146
R_3kvbwPackXPANmo,Comp(4),de auto,Comp,4,146
R_3lRiG6M8Z6vKWZh,Comp(4),de auto,Comp,4,146
R_3q9cZ9NJjEx872v,Comp(4),de auto,Comp,4,146
R_ABt8n7PxUqkXqy5,Comp(4),De auto,Comp,4,146
R_3k6rPDoCD4kup7x,Comp(4),de auto,Comp,4,146
R_p6iBXJstulO97Jn,Comp(4),De auto,Comp,4,146
R_USFewLQTXHp0kPT,Comp(4),de auto,Comp,4,146
R_1AeLfMZXZ76HTHz,Comp(5),sd,Comp,5,147
R_vrAH2qrxu41QSv7,Comp(5),de politie,Comp,5,147
R_6Pg4ql6MQumxZo9,Comp(5),de politie,Comp,5,147
R_1QaBlAsk46HI9NJ,Comp(5),de politie,Comp,5,147
R_pKtuHvEeh5mujgl,Comp(5),de politie,Comp,5,147
R_RrYmeJDnKB3hv7r,Comp(5),de politie ,Comp,5,147
R_2alPe2ZkILnzWYp,Comp(5),de politie,Comp,5,147
R_24zMzQY1U9LX5Gf,Comp(5),de politie,Comp,5,147
R_2zAp7MZjWbJtouD,Comp(5),de politie,Comp,5,147
R_1lgea30X5yRbWgb,Comp(5),Politie,Comp,5,147
R_1dg0dAPlymYfFcu,Comp(5),de politie,Comp,5,147
R_23TSscPxb3G1aSA,Comp(5),politie,Comp,5,147
R_3effdDALVVpFhkK,Comp(5),de politie ,Comp,5,147
R_2PpvbvcItA8LcqM,Comp(5),de politie,Comp,5,147
R_25WvorTEPc7DuHX,Comp(5),de politie,Comp,5,147
R_ZJCIt5D6m80Wim5,Comp(5),De politie,Comp,5,147
R_6gQpeEEoAOw1CNz,Comp(5),de politie ,Comp,5,147
R_UcJP3naTdDXJEDn,Comp(5),De politie ,Comp,5,147
R_21pKbw8vqrjpJ4Q,Comp(5),de politie,Comp,5,147
R_1HiWKvIl546M44z,Comp(5),de politie,Comp,5,147
R_BFIiDPrnKiKOhkB,Comp(5),de politie,Comp,5,147
R_232AZeZQOdbRSAK,Comp(5),de politie,Comp,5,147
R_1odMwWpdALe3A7c,Comp(5),de politie,Comp,5,147
R_3CMZ1prTdwstnIi,Comp(5),de politie ,Comp,5,147
R_2SDkvNUYWKzQ9b4,Comp(5),de politie,Comp,5,147
R_2qwqWlqovi1EnxK,Comp(5),de politie,Comp,5,147
R_1nSW9rReHHlwpSQ,Comp(5),De politie ,Comp,5,147
R_3FPt6NNv7fs4bHV,Comp(5),de politie,Comp,5,147
R_2uOs8d5Okoyss7z,Comp(5),de politie ,Comp,5,147
R_1JEdl2aEMuUO63f,Comp(5),de politie ,Comp,5,147
R_6L3ln2BoQAzJw2d,Comp(5),de politie,Comp,5,147
R_xAA7goWcKMvmb1D,Comp(5),de politie,Comp,5,147
R_248iCMeSwyLS8sF,Comp(5),de politie,Comp,5,147
R_OING4tGkg3q8VLb,Comp(5),de verzekeraar,Comp,5,147
R_3kvbwPackXPANmo,Comp(5),de politie,Comp,5,147
R_3lRiG6M8Z6vKWZh,Comp(5),de politie,Comp,5,147
R_3q9cZ9NJjEx872v,Comp(5),de politie,Comp,5,147
R_ABt8n7PxUqkXqy5,Comp(5),De politie,Comp,5,147
R_3k6rPDoCD4kup7x,Comp(5),de politie,Comp,5,147
R_p6iBXJstulO97Jn,Comp(5),De politie,Comp,5,147
R_USFewLQTXHp0kPT,Comp(5),de politie,Comp,5,147
R_1AeLfMZXZ76HTHz,Comp(6),sd,Comp,6,148
R_vrAH2qrxu41QSv7,Comp(6),de bank,Comp,6,148
R_6Pg4ql6MQumxZo9,Comp(6),de bank,Comp,6,148
R_1QaBlAsk46HI9NJ,Comp(6),de bank,Comp,6,148
R_pKtuHvEeh5mujgl,Comp(6),de bank,Comp,6,148
R_RrYmeJDnKB3hv7r,Comp(6),de bank,Comp,6,148
R_2alPe2ZkILnzWYp,Comp(6),een spaarrekening,Comp,6,148
R_24zMzQY1U9LX5Gf,Comp(6),een spaarrekening,Comp,6,148
R_2zAp7MZjWbJtouD,Comp(6),de bank ,Comp,6,148
R_1lgea30X5yRbWgb,Comp(6),Spaarrekening,Comp,6,148
R_1dg0dAPlymYfFcu,Comp(6),de bank,Comp,6,148
R_23TSscPxb3G1aSA,Comp(6),Bank,Comp,6,148
R_3effdDALVVpFhkK,Comp(6),de bank,Comp,6,148
R_2PpvbvcItA8LcqM,Comp(6),je rekening,Comp,6,148
R_25WvorTEPc7DuHX,Comp(6),de bank,Comp,6,148
R_ZJCIt5D6m80Wim5,Comp(6),Een spaarrekening,Comp,6,148
R_6gQpeEEoAOw1CNz,Comp(6),de bank,Comp,6,148
R_UcJP3naTdDXJEDn,Comp(6),De bank,Comp,6,148
R_21pKbw8vqrjpJ4Q,Comp(6),de bank,Comp,6,148
R_1HiWKvIl546M44z,Comp(6),een spaarrekening,Comp,6,148
R_BFIiDPrnKiKOhkB,Comp(6),een spaarrekening,Comp,6,148
R_232AZeZQOdbRSAK,Comp(6),de bank,Comp,6,148
R_1odMwWpdALe3A7c,Comp(6),de bank,Comp,6,148
R_3CMZ1prTdwstnIi,Comp(6),een spaarrekening,Comp,6,148
R_2SDkvNUYWKzQ9b4,Comp(6),de bank,Comp,6,148
R_2qwqWlqovi1EnxK,Comp(6),de bank,Comp,6,148
R_1nSW9rReHHlwpSQ,Comp(6),De bank,Comp,6,148
R_3FPt6NNv7fs4bHV,Comp(6),de bank,Comp,6,148
R_2uOs8d5Okoyss7z,Comp(6),de bank,Comp,6,148
R_1JEdl2aEMuUO63f,Comp(6),de bank,Comp,6,148
R_6L3ln2BoQAzJw2d,Comp(6),de bank,Comp,6,148
R_xAA7goWcKMvmb1D,Comp(6),je rekening,Comp,6,148
R_248iCMeSwyLS8sF,Comp(6),de bank,Comp,6,148
R_OING4tGkg3q8VLb,Comp(6),de rekening,Comp,6,148
R_3kvbwPackXPANmo,Comp(6),de bank,Comp,6,148
R_3lRiG6M8Z6vKWZh,Comp(6),de bank,Comp,6,148
R_3q9cZ9NJjEx872v,Comp(6),de bank,Comp,6,148
R_ABt8n7PxUqkXqy5,Comp(6),De bank ,Comp,6,148
R_3k6rPDoCD4kup7x,Comp(6),de bank,Comp,6,148
R_p6iBXJstulO97Jn,Comp(6),Een bankrekening,Comp,6,148
R_USFewLQTXHp0kPT,Comp(6),de bank,Comp,6,148
R_1AeLfMZXZ76HTHz,Comp(7),sd,Comp,7,149
R_vrAH2qrxu41QSv7,Comp(7),het platteland,Comp,7,149
R_6Pg4ql6MQumxZo9,Comp(7),het platteland,Comp,7,149
R_1QaBlAsk46HI9NJ,Comp(7),het platteland,Comp,7,149
R_pKtuHvEeh5mujgl,Comp(7),het platteland,Comp,7,149
R_RrYmeJDnKB3hv7r,Comp(7),het platteland ,Comp,7,149
R_2alPe2ZkILnzWYp,Comp(7),het platteland,Comp,7,149
R_24zMzQY1U9LX5Gf,Comp(7),het platteland,Comp,7,149
R_2zAp7MZjWbJtouD,Comp(7),het land,Comp,7,149
R_1lgea30X5yRbWgb,Comp(7),Platteland,Comp,7,149
R_1dg0dAPlymYfFcu,Comp(7),het platteland,Comp,7,149
R_23TSscPxb3G1aSA,Comp(7),platteland,Comp,7,149
R_3effdDALVVpFhkK,Comp(7),de veluwe,Comp,7,149
R_2PpvbvcItA8LcqM,Comp(7),het platteland,Comp,7,149
R_25WvorTEPc7DuHX,Comp(7),het platteland,Comp,7,149
R_ZJCIt5D6m80Wim5,Comp(7),Het platteland,Comp,7,149
R_6gQpeEEoAOw1CNz,Comp(7),het platteland,Comp,7,149
R_UcJP3naTdDXJEDn,Comp(7),Het platteland ,Comp,7,149
R_21pKbw8vqrjpJ4Q,Comp(7),het platteland,Comp,7,149
R_1HiWKvIl546M44z,Comp(7),de plaatsen,Comp,7,149
R_BFIiDPrnKiKOhkB,Comp(7),GI,Comp,7,149
R_232AZeZQOdbRSAK,Comp(7),het platteland,Comp,7,149
R_1odMwWpdALe3A7c,Comp(7),het platteland,Comp,7,149
R_3CMZ1prTdwstnIi,Comp(7),het platteland,Comp,7,149
R_2SDkvNUYWKzQ9b4,Comp(7),het platteland,Comp,7,149
R_2qwqWlqovi1EnxK,Comp(7),het platteland,Comp,7,149
R_1nSW9rReHHlwpSQ,Comp(7),Het platteland ,Comp,7,149
R_3FPt6NNv7fs4bHV,Comp(7),het platteland,Comp,7,149
R_2uOs8d5Okoyss7z,Comp(7),het platteland ,Comp,7,149
R_1JEdl2aEMuUO63f,Comp(7),het platteland,Comp,7,149
R_6L3ln2BoQAzJw2d,Comp(7),het platteland,Comp,7,149
R_xAA7goWcKMvmb1D,Comp(7),het platteland,Comp,7,149
R_248iCMeSwyLS8sF,Comp(7),het boerengat,Comp,7,149
R_OING4tGkg3q8VLb,Comp(7),een land,Comp,7,149
R_3kvbwPackXPANmo,Comp(7),het platteland,Comp,7,149
R_3lRiG6M8Z6vKWZh,Comp(7),het platteland,Comp,7,149
R_3q9cZ9NJjEx872v,Comp(7),het platteland,Comp,7,149
R_ABt8n7PxUqkXqy5,Comp(7),Het platteland ,Comp,7,149
R_3k6rPDoCD4kup7x,Comp(7),het platteland,Comp,7,149
R_p6iBXJstulO97Jn,Comp(7),Het platteland,Comp,7,149
R_USFewLQTXHp0kPT,Comp(7),het platteland,Comp,7,149
R_1AeLfMZXZ76HTHz,Comp(8),sd,Comp,8,150
R_vrAH2qrxu41QSv7,Comp(8),de koelkast,Comp,8,150
R_6Pg4ql6MQumxZo9,Comp(8),de koelkast,Comp,8,150
R_1QaBlAsk46HI9NJ,Comp(8),de koelkast,Comp,8,150
R_pKtuHvEeh5mujgl,Comp(8),de koelkast,Comp,8,150
R_RrYmeJDnKB3hv7r,Comp(8),de koelkast ,Comp,8,150
R_2alPe2ZkILnzWYp,Comp(8),de koelkast,Comp,8,150
R_24zMzQY1U9LX5Gf,Comp(8),koelkast,Comp,8,150
R_2zAp7MZjWbJtouD,Comp(8),de koelkast ,Comp,8,150
R_1lgea30X5yRbWgb,Comp(8),Koelkast,Comp,8,150
R_1dg0dAPlymYfFcu,Comp(8),de koelkast,Comp,8,150
R_23TSscPxb3G1aSA,Comp(8),koelkast,Comp,8,150
R_3effdDALVVpFhkK,Comp(8),de koelkast,Comp,8,150
R_2PpvbvcItA8LcqM,Comp(8),de koelkast,Comp,8,150
R_25WvorTEPc7DuHX,Comp(8),de koelkast,Comp,8,150
R_ZJCIt5D6m80Wim5,Comp(8),De koelkast,Comp,8,150
R_6gQpeEEoAOw1CNz,Comp(8),de koelkast,Comp,8,150
R_UcJP3naTdDXJEDn,Comp(8),De koelkast ,Comp,8,150
R_21pKbw8vqrjpJ4Q,Comp(8),de koelkast,Comp,8,150
R_1HiWKvIl546M44z,Comp(8),de koelkast,Comp,8,150
R_BFIiDPrnKiKOhkB,Comp(8),de koelkast ,Comp,8,150
R_232AZeZQOdbRSAK,Comp(8),de koelkast,Comp,8,150
R_1odMwWpdALe3A7c,Comp(8),de koelkast,Comp,8,150
R_3CMZ1prTdwstnIi,Comp(8),de koelkast ,Comp,8,150
R_2SDkvNUYWKzQ9b4,Comp(8),de koelkast,Comp,8,150
R_2qwqWlqovi1EnxK,Comp(8),de koelkast,Comp,8,150
R_1nSW9rReHHlwpSQ,Comp(8),De koelkast ,Comp,8,150
R_3FPt6NNv7fs4bHV,Comp(8),de koelkast,Comp,8,150
R_2uOs8d5Okoyss7z,Comp(8),de koelkast,Comp,8,150
R_1JEdl2aEMuUO63f,Comp(8),de koelkast,Comp,8,150
R_6L3ln2BoQAzJw2d,Comp(8),de koelkast,Comp,8,150
R_xAA7goWcKMvmb1D,Comp(8),de koelkast,Comp,8,150
R_248iCMeSwyLS8sF,Comp(8),de koelkast,Comp,8,150
R_OING4tGkg3q8VLb,Comp(8),de koelkast,Comp,8,150
R_3kvbwPackXPANmo,Comp(8),de koelkast,Comp,8,150
R_3lRiG6M8Z6vKWZh,Comp(8),de koelkast,Comp,8,150
R_3q9cZ9NJjEx872v,Comp(8),de koelkast,Comp,8,150
R_ABt8n7PxUqkXqy5,Comp(8),De koelkast,Comp,8,150
R_3k6rPDoCD4kup7x,Comp(8),de koelkast,Comp,8,150
R_p6iBXJstulO97Jn,Comp(8),de koelkast,Comp,8,150
R_USFewLQTXHp0kPT,Comp(8),de koelkast,Comp,8,150
R_1AeLfMZXZ76HTHz,Comp(9),sd,Comp,9,151
R_vrAH2qrxu41QSv7,Comp(9),de vorken,Comp,9,151
R_6Pg4ql6MQumxZo9,Comp(9),het bestek,Comp,9,151
R_1QaBlAsk46HI9NJ,Comp(9),het bestek,Comp,9,151
R_pKtuHvEeh5mujgl,Comp(9),het bestek,Comp,9,151
R_RrYmeJDnKB3hv7r,Comp(9),het bestek,Comp,9,151
R_2alPe2ZkILnzWYp,Comp(9),het bestek,Comp,9,151
R_24zMzQY1U9LX5Gf,Comp(9),het bestek,Comp,9,151
R_2zAp7MZjWbJtouD,Comp(9),het bestek,Comp,9,151
R_1lgea30X5yRbWgb,Comp(9),Bestek,Comp,9,151
R_1dg0dAPlymYfFcu,Comp(9),het bestek,Comp,9,151
R_23TSscPxb3G1aSA,Comp(9),bestek,Comp,9,151
R_3effdDALVVpFhkK,Comp(9),het bestek ,Comp,9,151
R_2PpvbvcItA8LcqM,Comp(9),het bestek,Comp,9,151
R_25WvorTEPc7DuHX,Comp(9),het bestek,Comp,9,151
R_ZJCIt5D6m80Wim5,Comp(9),Het bestek,Comp,9,151
R_6gQpeEEoAOw1CNz,Comp(9),een opscheplepel,Comp,9,151
R_UcJP3naTdDXJEDn,Comp(9),Het bestek,Comp,9,151
R_21pKbw8vqrjpJ4Q,Comp(9),het bestek,Comp,9,151
R_1HiWKvIl546M44z,Comp(9),het bestek,Comp,9,151
R_BFIiDPrnKiKOhkB,Comp(9),het bestek,Comp,9,151
R_232AZeZQOdbRSAK,Comp(9),het bestek,Comp,9,151
R_1odMwWpdALe3A7c,Comp(9),het bestek,Comp,9,151
R_3CMZ1prTdwstnIi,Comp(9),bestek ,Comp,9,151
R_2SDkvNUYWKzQ9b4,Comp(9),het bestek,Comp,9,151
R_2qwqWlqovi1EnxK,Comp(9),het bestek,Comp,9,151
R_1nSW9rReHHlwpSQ,Comp(9),Het bestek,Comp,9,151
R_3FPt6NNv7fs4bHV,Comp(9),het bestek,Comp,9,151
R_2uOs8d5Okoyss7z,Comp(9),het bestek,Comp,9,151
R_1JEdl2aEMuUO63f,Comp(9),het bestek,Comp,9,151
R_6L3ln2BoQAzJw2d,Comp(9),het bestek,Comp,9,151
R_xAA7goWcKMvmb1D,Comp(9),het bestek,Comp,9,151
R_248iCMeSwyLS8sF,Comp(9),het bestek,Comp,9,151
R_OING4tGkg3q8VLb,Comp(9),het bestek,Comp,9,151
R_3kvbwPackXPANmo,Comp(9),het bestek,Comp,9,151
R_3lRiG6M8Z6vKWZh,Comp(9),het bestek,Comp,9,151
R_3q9cZ9NJjEx872v,Comp(9),het bestek,Comp,9,151
R_ABt8n7PxUqkXqy5,Comp(9),Het bestek,Comp,9,151
R_3k6rPDoCD4kup7x,Comp(9),het bestek,Comp,9,151
R_p6iBXJstulO97Jn,Comp(9),Het bestek,Comp,9,151
R_USFewLQTXHp0kPT,Comp(9),het bestek,Comp,9,151
R_1AeLfMZXZ76HTHz,Comp(10),sd,Comp,10,152
R_vrAH2qrxu41QSv7,Comp(10),de dierenartd,Comp,10,152
R_6Pg4ql6MQumxZo9,Comp(10),de dokter,Comp,10,152
R_1QaBlAsk46HI9NJ,Comp(10),de dierenarts,Comp,10,152
R_pKtuHvEeh5mujgl,Comp(10),de dierenarts,Comp,10,152
R_RrYmeJDnKB3hv7r,Comp(10),de dierenarts,Comp,10,152
R_2alPe2ZkILnzWYp,Comp(10),de dierenarts,Comp,10,152
R_24zMzQY1U9LX5Gf,Comp(10),de dierenarts,Comp,10,152
R_2zAp7MZjWbJtouD,Comp(10),de dierenarts,Comp,10,152
R_1lgea30X5yRbWgb,Comp(10),Dierenarts,Comp,10,152
R_1dg0dAPlymYfFcu,Comp(10),de dierenarts,Comp,10,152
R_23TSscPxb3G1aSA,Comp(10),dierenarts,Comp,10,152
R_3effdDALVVpFhkK,Comp(10),de dierenarts ,Comp,10,152
R_2PpvbvcItA8LcqM,Comp(10),de dierenarts,Comp,10,152
R_25WvorTEPc7DuHX,Comp(10),de dierenarts,Comp,10,152
R_ZJCIt5D6m80Wim5,Comp(10),De dierenarts,Comp,10,152
R_6gQpeEEoAOw1CNz,Comp(10),de dierenarts,Comp,10,152
R_UcJP3naTdDXJEDn,Comp(10),De dierenarts ,Comp,10,152
R_21pKbw8vqrjpJ4Q,Comp(10),de dierenarts,Comp,10,152
R_1HiWKvIl546M44z,Comp(10),de dierenarts,Comp,10,152
