sentID,SentenceContext,sentenceClosure,compLower,unrelOppositeGender,popularity,nComp,percent,above70,comp.det,comp.noun,Lg10WF,natNess,RT,Diff,speaker
68,Na het dagje uit besloten de dames nog een drankje te doen in,op de hoek van de straat.,het cafe,de lunchroom,40,49,81.63265306,1,het,cafe,1.7559,5.489795918,6.36477551,5.591836735,Victoria
69,Michael heeft net nieuwe boxen voor zijn televisie gekocht waardoor,nu nog beter klinkt.,het geluid,de muziek,36,46,78.26086957,1,het,geluid,3.3176,5.652173913,14.35745652,5.391304348,Jurriaan
70,Andrea en Evelien gingen samen fitnessen in,bij hen in de buurt.,de sportschool,het bos,35,49,71.42857143,1,de,sportschool,2.1399,5.653061224,5.324938776,5.367346939,Victoria
74,Voor ze de deur uitgaat maakt Nikki zichzelf altijd op voor,in haar kamer.,de spiegel,het raam,49,52,94.23076923,1,de,spiegel,3.0795,5.442307692,10.58146154,5.173076923,Bobby
75,December is mijn favoriete maand van,vanwege de sneeuw en de gezelligheid.,het jaar,de winter,53,53,100,1,het,jaar,4.5231,5.773584906,3.204886792,5.905660377,Victoria
77,Alle ingredi¥nten voor het gerecht had Lisanne in de keuken op,gelegd.,het aanrecht,de tafel,48,52,92.30769231,1,het,aanrecht,1.8633,5.538461538,7.229903846,5.365384615,Johanneke
79,"Roodkapje liep door het bos naar het huis van haar oma, maar achter de bomen wachtte",op haar.,de wolf,het dier,42,45,93.33333333,1,de,wolf,2.9479,5.6,9.928533333,5.6,Victoria
80,"Toen hij hoorde dat hij zijn examen gehaald had, sprong hij een gat in",van blijdschap.,de lucht,het water,53,53,100,1,de,lucht,3.5903,5.811320755,3.256660377,5.962264151,Victoria
83,"Karel heeft honderd euro aan Frank geleend, dus staat Frank nu bij Karel in",en werkt hij hard om het terug te verdienen.,het krijt,de schuld,40,53,75.47169811,1,het,krijt,2.7143,5.245283019,28.01349057,5.396226415,Jurriaan
84,"De vergadering ging grotendeels zoals verwacht, alleen het nieuws van Jan kwam nogal onverwachts uit",en dus schrokken wij.,de hoek,het kamertje,43,50,86,1,de,hoek,3.3393,4.98,8.41626,5.2,Bobby
85,E_n van de meest typische lastdieren in de woestijn is natuurlijk,met zijn bulten.,de kameel,het trekpaard,49,52,94.23076923,1,de,kameel,2.0755,5.461538462,4.786615385,5.576923077,Johanneke
87,"Nadat ik naar het buitenland vertrok, heb ik nooit meer iets van haar gehoord. Het is bij haar altijd uit het oog uit",en dat vind ik wel heel jammer.,het hart,de neus,50,53,94.33962264,1,het,hart,3.9339,5.433962264,11.67624528,5.528301887,Johanneke
88,Het is niet eerlijk om tijdens een ruzie oude koeien uit,te halen.,de sloot,het meer,51,53,96.22641509,1,de,sloot,2.6758,5.905660377,3.469056604,5.943396226,Jurriaan
89,"Sommige mensen hebben altijd pech, die vissen altijd achter",en dat is best sneu.,het net,de sloot,51,52,98.07692308,1,het,net,4.6431,5.673076923,5.00775,5.884615385,Jurriaan
90,"Het was snikheet in de auto toen zij in de file stonden, dus zette Fiona",aan.,de airco,het ventiel,41,53,77.35849057,1,de,airco,2.3139,5.641509434,5.547113208,5.452830189,Victoria
92,De huur van je kamer wordt altijd afgeschreven aan het begin van,waarin je huurt.,de maand,het jaar,52,53,98.11320755,1,de,maand,3.6124,5.188679245,6.792169811,5.622641509,Bobby
93,Na het optreden werd de popster met de limousine teruggebracht naar,waar zij sliep.,het hotel,de zaal,50,53,94.33962264,1,het,hotel,3.5889,5.58490566,5.768641509,5.58490566,Bobby
94,"Nadat de politie dagenlang de verdachte had verhoord, kwam eindelijk de aap uit",", wat het een stuk gemakkelijker maakte om de medeplichtige te vinden.",de mouw,het vest,53,53,100,1,de,mouw,2.2648,5.603773585,5.580264151,5.981132075,Johanneke
95,Omdat Peter net de loterij heeft gewonnen smijt hij zijn geld nu over,", omdat het kan.",de balk,het hout,46,53,86.79245283,1,de,balk,1.9031,5.245283019,12.86766038,5.716981132,Johanneke
97,"Zijn schoolcijfers zijn ontzettend slecht, hij gooit er echt met",naar.,de pet,het hoofd,45,52,86.53846154,1,de,pet,2.7619,5.538461538,4.171538462,5.538461538,Jurriaan
98,In het dorp luidt elke zondagochtend de klok van,erg hard.,de kerk,het kapelletje,44,53,83.01886792,1,de,kerk,3.5412,5.094339623,3.32354717,5.622641509,Bobby
100,"Op de radio is eerder gemeld dat de wegen glad zouden worden, maar deze waarschuwing sloeg Jan in",toen hij de weg opging.,de wind,het gezicht,46,53,86.79245283,1,de,wind,3.345,5,16.22341509,5.056603774,Johanneke
101,De grote spin in het raam joeg haar de stuipen op,toen ze hem ontdekte.,het lijf,de maag,51,53,96.22641509,1,het,lijf,3.0149,5.660377358,4.000773585,5.886792453,Jurriaan
102,"Iedereen had ontzettend veel zin in de picknick, maar het weer gooide helaas roet in",voor die dag.,het eten,de pasta,52,53,98.11320755,1,het,eten,4.2901,5.490566038,5.096528302,5.754716981,Victoria
103,Om de prinses te redden uit de toren moest de ridder het eerst opnemen tegen,maar dat had hij ervoor over.,de draak,het leger,39,52,75,1,de,draak,2.8727,5.019230769,4.41525,5.211538462,Victoria
104,De wandeltocht zou beginnen aan de voet van,om 8 uur 's ochtends.,de berg,het pad,46,52,88.46153846,1,de,berg,3.1764,5.519230769,6.247076923,5.596153846,Jurriaan
105,De gevangenen bleken ontsnapt te zijn door het doorzagen van,met een nagelvijl.,de tralies,het ijzer,38,53,71.69811321,1,de,tralies,2.4955,5.188679245,4.925245283,5.20754717,Johanneke
106,"De schoonmaakster onderhoudt het hele huis behalve de tuin, dat is de taak van",en zijn snoeischaar.,de tuinman,het hulpje,49,53,92.45283019,1,de,tuinman,2.4099,5.226415094,6.014981132,5.509433962,Jurriaan
107,Die stunt van Jan ging maar net goed. Hij kroop door het oog van,maar gelukkig mankeert hij niks.,de naald,het huis,53,53,100,1,de,naald,2.5717,5.58490566,4.137773585,5.924528302,Bobby
108,"Toen het water voor de pasta begon te koken, haalde ik snel de deksel van",zodat het niet over zou koken.,de pan,het vuur,55,58,94.82758621,1,de,pan,2.6138,5.672413793,4.958413793,5.793103448,Jurriaan
109,Het eerste wat Isabella bekeek in haar nieuwe appartement was het prachtige uitzicht vanaf,vanwaar ze kon uitkijken over de hele stad.,het balkon,de balustrade,44,58,75.86206897,1,het,balkon,2.4639,5.517241379,14.23046552,5.5,Johanneke
110,Bij de opening van de nieuwe brug was de koningin uitgenodigd voor het doorknippen van,en een toespraak.,het lint,de touwen,44,58,75.86206897,1,het,lint,2.5441,5.25862069,8.919448276,5.689655172,Jurriaan
111,Na de salarisonderhandelingen tekende de werknemer,met zijn nieuwe werkgever.,het contract,de brief,48,58,82.75862069,1,het,contract,3.1912,5.672413793,4.743896552,5.655172414,Bobby
113,Tijdens zijn wandeling langs het spoor schrok Jan zich een hoedje door het plotselinge getoeter van,omdat hij helemaal in zijn gedachten verzonken was.,de trein,het voertuig,42,58,72.4137931,1,de,trein,3.5051,5.293103448,7.089275862,5.534482759,Victoria
114,Voor zijn verjaardag had Hendrik een bioscoopbon gekregen. Een week later ging hij daarmee naar,met zijn vrienden.,de bioscoop,het filmhuis,55,58,94.82758621,1,de,bioscoop,2.6702,5.655172414,10.89444828,5.793103448,Victoria
116,"De stroom leek plotseling uitgevallen, dus checkte Karel even de stoppen in",op de gang.,de meterkast,het kabinet,46,58,79.31034483,1,de,meterkast,1.2788,5.551724138,8.206534483,5.465517241,Victoria
117,Voor de pauze sprak ik met mijn collega's af te gaan lunchen in,op het werk.,de kantine,het cafe,43,58,74.13793103,1,de,kantine,2.2989,5.206896552,6.152534483,5.25862069,Johanneke
118,De student studeerde de hele nacht voor,van de volgende morgen.,het tentamen,de opdracht,44,58,75.86206897,1,het,tentamen,1.6902,5.775862069,3.583137931,5.75862069,Bobby
120,Marc had veel te weinig tijd om het hele boek te lezen voor zijn literatuurtentamen en las daarom alleen,"op internet, waarin de belangrijkste informatie opgesomd stond.",de samenvatting,het verhaal,41,58,70.68965517,1,de,samenvatting,1.716,5.603448276,8.738603448,5.706896552,Jurriaan
121,Agnes was op vakantie erg bruin geworden van,en zag er uitgerust uit.,de zon,het zand,45,58,77.5862069,1,de,zon,3.4777,5.24137931,6.221913793,5.689655172,Bobby
122,"Als je altijd te laat thuis bent voor het eten, vind je vaak de hond in",en dan heb je pech.,de pot,het toilet,49,58,84.48275862,1,de,pot,3.1271,5.310344828,6.822327586,5.206896552,Johanneke
123,Ik vind het erg zielig dat leeuwen in zulke kleine kooien leven in,terwijl het wilde dieren zijn.,de dierentuin,het reservaat,43,51,84.31372549,1,de,dierentuin,2.6222,5.37254902,13.29884314,5.588235294,Jurriaan
124,Om die ene lekkere biefstuk te eten spraken Jim en Roos af bij,waar zij graag kwamen.,het restaurant,de bistro,54,58,93.10344828,1,het,restaurant,3.262,5.172413793,10.36741379,5.637931034,Victoria
125,"Sam lijkt erg op zijn vader, een typisch geval van de appel valt niet ver van",als je het mij vraagt.,de boom,het plantje,56,56,100,1,de,boom,3.3591,5.714285714,4.429321429,5.910714286,Bobby
126,Wij wilden op zijn verjaardag proosten. We ontpopten daarom met veel geluid,en zetten de hapjes op tafel.,de champagne,het feest,41,54,75.92592593,1,de,champagne,3.1807,5.12962963,5.888740741,5.388888889,Jurriaan
129,Sophie dekte de tafel. Ze begon met de borden en de glazen en daarna legde zij keurig,in de juiste volgorde op tafel.,het bestek,de lepels,57,58,98.27586207,1,het,bestek,1.9542,5.534482759,9.5935,5.586206897,Bobby
130,Frans en Stijn bezoeken alle wedstrijden van hun favoriete voetbalclub en vertrekken altijd op tijd naar,om een goede plek te bemachtigen.,het stadion,de rij,50,58,86.20689655,1,het,stadion,2.3692,5.75862069,7.04112069,5.672413793,Bobby
131,Tijdens de treinrit werd ons kaartje gecontroleerd door,met de grote snor.,de conducteur,het mannetje,42,58,72.4137931,1,de,conducteur,1.9395,5.689655172,6.655741379,5.724137931,Jurriaan
132,Er zijn wel bijna tweehonderd verschillende landen op,waar ik maar slechts een klein deel van heb gezien.,de wereld,het paradijs,50,58,86.20689655,1,de,wereld,4.2363,4.948275862,7.178034483,5.620689655,Johanneke
133,De doktersassistente vroeg mij plaats te nemen in,voordat de dokter mij zou komen halen.,de wachtkamer,het halletje,45,58,77.5862069,1,de,wachtkamer,1.9731,5.706896552,4.210741379,5.706896552,Bobby
134,Bart en Sara liepen in het park met hun baby in,naar de vijver.,de kinderwagen,het zonnetje,47,57,82.45614035,1,de,kinderwagen,1.7076,5.087719298,5.669473684,5.140350877,Johanneke
136,De trein kwam tien minuten later dan verwacht aan op,van Den Haag.,het station,de noordzijde,53,58,91.37931034,1,het,station,3.0888,5.344827586,5.00912069,5.75862069,Jurriaan
137,"Toen mijn ouders een weekendje weg waren, vroeg mijn vader aan de buurvrouw of zij een oogje in",wilde houden.,het zeil,de smiezen,53,58,91.37931034,1,het,zeil,2.4814,5.862068966,12.23543103,5.931034483,Victoria
140,De bejaarden bekeken veel schilderijen van Rembrandt die tentoongesteld werden in,in het centrum van de stad.,het museum,de broodwinkel,52,58,89.65517241,1,het,museum,2.9201,5.482758621,7.368275862,5.655172414,Victoria
141,Bij thuiskomst stak Dirk de sleutel in,om naar binnen te gaan.,het slot,de deur,48,58,82.75862069,1,het,slot,3.3608,5.431034483,73.59553448,5.689655172,Bobby
142,"Meester Jansen werkt al dertig jaar op dezelfde school, hij is echt een oude rot in",en dat merk je wel aan zijn omgang met zijn collega's.,het vak,de lesomgeving,46,58,79.31034483,1,het,vak,2.9841,5.224137931,14.84598276,5.206896552,Jurriaan
143,"Auto's and vliegtuigen zijn slecht voor het mileu, dus sommige mensen gaan liever via de Eurotunnel met",naar Engeland.,de trein,het fietsje,32,40,80,1,de,trein,3.5051,4.102564103,11.0413,5.675,Jurriaan
144,"Er staan lange files voor Zandvoort aan Zee, omdat iedereen lekker wil uitwaaien op",vandaag.,het strand,de zee,37,40,92.5,1,het,strand,3.2448,4.4,8.278925,5.875,Johanneke
145,"Neem de trap als er brand uitbreekt, want",is buiten gebruik.,de lift,het dak,37,40,92.5,1,de,lift,3.457,4.275,6.779775,5.7,Victoria
146,"Je hebt de bus net gemist, dus ik breng je wel even met",naar het station.,de auto,het taxibedrijf,32,40,80,1,de,auto,4.3017,4.775,5.2401,5.85,Bobby
147,"Als je fiets gestolen is, moet je officieel aangifte doen bij",om geld terug te krijgen van de verzekering,de politie,het bedrijf,37,40,92.5,1,de,politie,4.1801,4.625,5.95275,5.9,Jurriaan
148,"Geld sparen in een oude sok is niet meer van deze tijd, je kunt het beter op",zetten.,de bank,het matras,28,40,70,1,de,bank,3.6042,4.512820513,6.9764,5.625,Victoria
149,In de Randstad weten veel kinderen minder over de natuur dan mensen die opgroeien in boerderijen op,in het oosten.,het platteland,de velden,32,40,80,1,het,platteland,2.617,3.775,11.7189,5.025,Johanneke
150,Je moet een pak verse melk altijd terugzetten in,om te voorkomen dat het bederft.,de koelkast,het vriesvak,37,40,92.5,1,de,koelkast,2.8116,4.7,5.4791,6,Johanneke
151,"Ik heb de borden al op tafel gelegd, kun jij uit de bovenste la",pakken en erbij leggen,het bestek,de glazen,35,40,87.5,1,het,bestek,1.9542,4.125,16.5344,5.7,Victoria
152,Mijn hond was ziek dus ik moest ermee naar,vanmorgen.,de dierenarts,het asiel,34,40,85,1,de,dierenarts,2.415,4.45,4.263975,5.825,Victoria
153,In Mexico zijn drie criminelen ontsnapt uit,gisteren.,de gevangenis,het boevenhok,37,40,92.5,1,de,gevangenis,3.6616,3.6,7.69505,5.85,Jurriaan
154,Als iedereen na de crisis weer meer geld gaat investeren zal het snel beter gaan met,van het land.,de economie,het geluk,37,40,92.5,1,de,economie,2.5658,4.475,7.952725,5.625,Bobby
155,Volgens de Sinterklaastraditie in Nederland komt Zwarte Piet vanaf het dak door,het huis binnen om cadeautjes te brengen.,de schoorsteen,het gangpad,37,40,92.5,1,de,schoorsteen,2.2788,4.55,9.010025,5.825,Johanneke
156,De overvallers stormden de winkel binnen en gingen direct naar de kassa's om,te stelen.,het geld,de briefjes,30,40,75,1,het,geld,4.5404,4.125,7.962775,5.5,Bobby
157,Ik heb 2 vrijkaartjes voor de bioscoop; het je zin om mee te gaan naar,volgende week,de film,het programma,30,40,75,1,de,film,3.8821,4.25,6.958725,5.5,Johanneke
158,Dit is de hit die je het meest hoort op,tegenwoordig.,de radio,het nieuws,38,40,95,1,de,radio,3.4096,4.35,5.123925,5.8,Johanneke
159,"Ik heb geen tuin, want ik woon in een flat, maar ik kan in de zomer wel altijd lekker op",zitten.,het balkon,de bank,32,40,80,1,het,balkon,2.4639,4.6,8.54875,5.8,Johanneke
160,De koude lucht uit Belgi’â zal zich vanuit het zuiden gaan verspreiden in de rest van,morgen.,het land,de provincies,33,40,82.5,1,het,land,4.0282,3.375,12.26315,5.1,Victoria
161,Op zondag leest mijn vader altijd uitgebreid,bij het ontbijt.,de krant,het magazine,35,40,87.5,1,de,krant,3.4059,4.75,4.311825,5.85,Victoria
